"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_EXPLANATION","TITLE_SPEC.TABLE_SUB_CATEGORY2","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2"
"0003223319","木質バイオマスエネルギー利用動向調査 確報","年次","201601-201612","2018-07-31","0","全国","66","2024-01-17","","00501008","木質バイオマスエネルギー利用動向調査","00501","林野庁","1-1","全国集計表 1 木質バイオマスエネルギー利用事業所に関する項目 (1)業種別木質バイオマスエネルギー利用事業所数","04","農林水産業","03","林業","木質バイオマスエネルギー利用動向調査","確報","全国集計表","1 木質バイオマスエネルギー利用事業所に関する項目","(1)業種別木質バイオマスエネルギー利用事業所数","","",""
"0003223320","木質バイオマスエネルギー利用動向調査 確報","年次","201601-201612","2018-07-31","0","全国","132","2024-01-17","","00501008","木質バイオマスエネルギー利用動向調査","00501","林野庁","1-1","全国集計表 1 木質バイオマスエネルギー利用事業所に関する項目 (2)業種別平均初期投資額・更新額","04","農林水産業","03","林業","木質バイオマスエネルギー利用動向調査","確報","全国集計表","1 木質バイオマスエネルギー利用事業所に関する項目","(2)業種別平均初期投資額・更新額","","",""
"0003223321","木質バイオマスエネルギー利用動向調査 確報","年次","201601-201612","2018-07-31","0","全国","990","2024-01-17","","00501008","木質バイオマスエネルギー利用動向調査","00501","林野庁","1-1","全国集計表 1 木質バイオマスエネルギー利用事業所に関する項目 (3)業種別灰の処理方法別事業所数","04","農林水産業","03","林業","木質バイオマスエネルギー利用動向調査","確報","全国集計表","1 木質バイオマスエネルギー利用事業所に関する項目","(3)業種別灰の処理方法別事業所数","","",""
"0003223346","木質バイオマスエネルギー利用動向調査 確報","年次","201501-201512","2018-07-31","0","全国","48","2024-01-17","","00501008","木質バイオマスエネルギー利用動向調査","00501","林野庁","1-1","都道府県別集計表 1 木質バイオマスエネルギー利用事業所に関する項目 木質バイオマスエネルギー利用事業所数","04","農林水産業","03","林業","木質バイオマスエネルギー利用動向調査","確報","都道府県別集計表","1 木質バイオマスエネルギー利用事業所に関する項目","木質バイオマスエネルギー利用事業所数","","",""
"0003223346","木質バイオマスエネルギー利用動向調査 確報","年次","201501-201512","2018-07-31","0","都道府県","48","2024-01-17","","00501008","木質バイオマスエネルギー利用動向調査","00501","林野庁","1-1","都道府県別集計表 1 木質バイオマスエネルギー利用事業所に関する項目 木質バイオマスエネルギー利用事業所数","04","農林水産業","03","林業","木質バイオマスエネルギー利用動向調査","確報","都道府県別集計表","1 木質バイオマスエネルギー利用事業所に関する項目","木質バイオマスエネルギー利用事業所数","","",""
"0003223347","木質バイオマスエネルギー利用動向調査 確報","年次","201601-201612","2018-07-31","0","全国","192","2024-01-17","","00501008","木質バイオマスエネルギー利用動向調査","00501","林野庁","1-1","都道府県別集計表 1 木質バイオマスエネルギー利用事業所に関する項目 木質バイオマスエネルギー利用機器の所有形態別事業所数","04","農林水産業","03","林業","木質バイオマスエネルギー利用動向調査","確報","都道府県別集計表","1 木質バイオマスエネルギー利用事業所に関する項目","木質バイオマスエネルギー利用機器の所有形態別事業所数","","",""
"0003223347","木質バイオマスエネルギー利用動向調査 確報","年次","201601-201612","2018-07-31","0","都道府県","192","2024-01-17","","00501008","木質バイオマスエネルギー利用動向調査","00501","林野庁","1-1","都道府県別集計表 1 木質バイオマスエネルギー利用事業所に関する項目 木質バイオマスエネルギー利用機器の所有形態別事業所数","04","農林水産業","03","林業","木質バイオマスエネルギー利用動向調査","確報","都道府県別集計表","1 木質バイオマスエネルギー利用事業所に関する項目","木質バイオマスエネルギー利用機器の所有形態別事業所数","","",""
"0003223322","木質バイオマスエネルギー利用動向調査 確報","年次","201601-201612","2018-07-31","0","全国","330","2024-01-17","","00501008","木質バイオマスエネルギー利用動向調査","00501","林野庁","1-2","全国集計表 2 木質バイオマス利用に関する項目 (1)業種別木質バイオマスの利用量","04","農林水産業","03","林業","木質バイオマスエネルギー利用動向調査","確報","全国集計表","2 木質バイオマス利用に関する項目","(1)業種別木質バイオマスの利用量","","",""
"0003223323","木質バイオマスエネルギー利用動向調査 確報","年次","201501-201512","2018-07-31","0","全国","20","2024-01-17","","00501008","木質バイオマスエネルギー利用動向調査","00501","林野庁","1-2","全国集計表 2 木質バイオマス利用に関する項目 (2)事業所における利用目的別木質バイオマスの利用量","04","農林水産業","03","林業","木質バイオマスエネルギー利用動向調査","確報","全国集計表","2 木質バイオマス利用に関する項目","(2)事業所における利用目的別木質バイオマスの利用量","","",""
"0003223324","木質バイオマスエネルギー利用動向調査 確報","年次","201601-201612","2018-07-31","0","全国","20","2024-01-17","","00501008","木質バイオマスエネルギー利用動向調査","00501","林野庁","1-2","全国集計表 2 木質バイオマス利用に関する項目 (2)事業所における利用機器の所有形態別木質バイオマスの種類別利用量","04","農林水産業","03","林業","木質バイオマスエネルギー利用動向調査","確報","全国集計表","2 木質バイオマス利用に関する項目","(2)事業所における利用機器の所有形態別木質バイオマスの種類別利用量","","",""
"0003223325","木質バイオマスエネルギー利用動向調査 確報","年次","201501-201512","2018-07-31","0","全国","85","2024-01-17","","00501008","木質バイオマスエネルギー利用動向調査","00501","林野庁","1-2","全国集計表 2 木質バイオマス利用に関する項目 (3)事業所における利用目的別木材チップの由来別利用量","04","農林水産業","03","林業","木質バイオマスエネルギー利用動向調査","確報","全国集計表","2 木質バイオマス利用に関する項目","(3)事業所における利用目的別木材チップの由来別利用量","","",""
"0003223326","木質バイオマスエネルギー利用動向調査 確報","年次","201601-201612","2018-07-31","0","全国","85","2024-01-17","","00501008","木質バイオマスエネルギー利用動向調査","00501","林野庁","1-2","全国集計表 2 木質バイオマス利用に関する項目 (3)事業所における利用機器の所有形態別木材チップの由来別利用量","04","農林水産業","03","林業","木質バイオマスエネルギー利用動向調査","確報","全国集計表","2 木質バイオマス利用に関する項目","(3)事業所における利用機器の所有形態別木材チップの由来別利用量","","",""
"0003223327","木質バイオマスエネルギー利用動向調査 確報","年次","201601-201612","2018-07-31","0","全国","48","2024-01-17","","00501008","木質バイオマスエネルギー利用動向調査","00501","林野庁","1-2","全国集計表 2 木質バイオマス利用に関する項目 (4)木質バイオマスと非木質バイオマス燃料の非木質バイオマス燃料種類別混焼実施事業所数","04","農林水産業","03","林業","木質バイオマスエネルギー利用動向調査","確報","全国集計表","2 木質バイオマス利用に関する項目","(4)木質バイオマスと非木質バイオマス燃料の非木質バイオマス燃料種類別混焼実施事業所数","注：混焼発電機と混焼ボイラーを所有している事業所は重複している場合がある。総数については延べ数を計上している。","",""
"0003223328","木質バイオマスエネルギー利用動向調査 確報","年次","201601-201612","2018-07-31","0","全国","42","2024-01-17","","00501008","木質バイオマスエネルギー利用動向調査","00501","林野庁","1-2","全国集計表 2 木質バイオマス利用に関する項目 (5)木質バイオマスと化石燃料の化石燃料種類別混焼実施事業所数","04","農林水産業","03","林業","木質バイオマスエネルギー利用動向調査","確報","全国集計表","2 木質バイオマス利用に関する項目","(5)木質バイオマスと化石燃料の化石燃料種類別混焼実施事業所数","注：混焼発電機と混焼ボイラーを所有している事業所は重複している場合がある。総数については延べ数を計上している。","",""
"0003223348","木質バイオマスエネルギー利用動向調査 確報","年次","201601-201612","2018-07-31","0","全国","480","2024-01-17","","00501008","木質バイオマスエネルギー利用動向調査","00501","林野庁","1-2","都道府県別集計表 2 木質バイオマス利用に関する項目 (1)木質バイオマスの利用量","04","農林水産業","03","林業","木質バイオマスエネルギー利用動向調査","確報","都道府県別集計表","2 木質バイオマス利用に関する項目","(1)木質バイオマスの利用量","","",""
"0003223348","木質バイオマスエネルギー利用動向調査 確報","年次","201601-201612","2018-07-31","0","都道府県","480","2024-01-17","","00501008","木質バイオマスエネルギー利用動向調査","00501","林野庁","1-2","都道府県別集計表 2 木質バイオマス利用に関する項目 (1)木質バイオマスの利用量","04","農林水産業","03","林業","木質バイオマスエネルギー利用動向調査","確報","都道府県別集計表","2 木質バイオマス利用に関する項目","(1)木質バイオマスの利用量","","",""
"0003223349","木質バイオマスエネルギー利用動向調査 確報","年次","201601-201612","2018-07-31","0","全国","1632","2024-01-17","","00501008","木質バイオマスエネルギー利用動向調査","00501","林野庁","1-2","都道府県別集計表 2 木質バイオマス利用に関する項目 (2)木材チップの由来別利用量","04","農林水産業","03","林業","木質バイオマスエネルギー利用動向調査","確報","都道府県別集計表","2 木質バイオマス利用に関する項目","(2)木材チップの由来別利用量","","",""
