"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY2"
"0003372772","都道府県知事認可の漁業協同組合の職員に関する一斉調査 確報 水産業協同組合統計表（都道府県知事認可の水産業協同組合）","年度次","0","2020-01-16","0","全国","180","2023-03-07","","00502000","都道府県知事認可漁業協同組合の職員に関する一斉調査","00502","水産庁","1","水産業協同組合統計表（都道府県知事認可の水産業協同組合） 組合数の推移（都道府県知事認可組合）","03","労働・賃金","02","賃金・労働条件","都道府県知事認可の漁業協同組合の職員に関する一斉調査","確報","水産業協同組合統計表（都道府県知事認可の水産業協同組合）","水産業協同組合統計表（都道府県知事認可の水産業協同組合）","組合数の推移（都道府県知事認可組合）","（注）１．この表は都道府県知事認可の水産業協同組合の組合数である。<br>２．組合数は「水産業協同組合年次報告」（水産庁水産経営課発行）による。<br>３．各年度の組合数について、本表の数字が2015年度以前に発行した水産業協同組合年次報告の数字と異なっている場合もあるが、これは、県からの報告に基づき修正が行われたためである。<br>４．大臣認可の組合の数は、「水産業協同組合年次報告」を参照されたい。","",""
"0003372773","都道府県知事認可の漁業協同組合の職員に関する一斉調査 確報 水産業協同組合統計表（都道府県知事認可の水産業協同組合）","年度次","0","2021-09-30","0","全国","2496","2023-03-07","","00502000","都道府県知事認可漁業協同組合の職員に関する一斉調査","00502","水産庁","1","沿海地区出資漁業協同組合 事業年度の周期別組合数","03","労働・賃金","02","賃金・労働条件","都道府県知事認可の漁業協同組合の職員に関する一斉調査","確報","水産業協同組合統計表（都道府県知事認可の水産業協同組合）","沿海地区出資漁業協同組合","事業年度の周期別組合数","","",""
"0003372773","都道府県知事認可の漁業協同組合の職員に関する一斉調査 確報 水産業協同組合統計表（都道府県知事認可の水産業協同組合）","年度次","0","2021-09-30","0","都道府県","2496","2023-03-07","","00502000","都道府県知事認可漁業協同組合の職員に関する一斉調査","00502","水産庁","1","沿海地区出資漁業協同組合 事業年度の周期別組合数","03","労働・賃金","02","賃金・労働条件","都道府県知事認可の漁業協同組合の職員に関する一斉調査","確報","水産業協同組合統計表（都道府県知事認可の水産業協同組合）","沿海地区出資漁業協同組合","事業年度の周期別組合数","","",""
"0003372804","都道府県知事認可の漁業協同組合の職員に関する一斉調査 確報 水産業協同組合統計表（都道府県知事認可の水産業協同組合）","年度次","0","2021-09-30","0","全国","16896","2023-03-07","","00502000","都道府県知事認可漁業協同組合の職員に関する一斉調査","00502","水産庁","10","沿海地区出資漁業協同組合 購買事業　（２）組合員数（正および准組合員数の合計）別取扱高別組合数","03","労働・賃金","02","賃金・労働条件","都道府県知事認可の漁業協同組合の職員に関する一斉調査","確報","水産業協同組合統計表（都道府県知事認可の水産業協同組合）","沿海地区出資漁業協同組合","購買事業　（２）組合員数（正および准組合員数の合計）別取扱高別組合数","","",""
"0003372804","都道府県知事認可の漁業協同組合の職員に関する一斉調査 確報 水産業協同組合統計表（都道府県知事認可の水産業協同組合）","年度次","0","2021-09-30","0","都道府県","16896","2023-03-07","","00502000","都道府県知事認可漁業協同組合の職員に関する一斉調査","00502","水産庁","10","沿海地区出資漁業協同組合 購買事業　（２）組合員数（正および准組合員数の合計）別取扱高別組合数","03","労働・賃金","02","賃金・労働条件","都道府県知事認可の漁業協同組合の職員に関する一斉調査","確報","水産業協同組合統計表（都道府県知事認可の水産業協同組合）","沿海地区出資漁業協同組合","購買事業　（２）組合員数（正および准組合員数の合計）別取扱高別組合数","","",""
"0003404530","都道府県知事認可の漁業協同組合の職員に関する一斉調査 確報 水産業協同組合統計表（都道府県知事認可の水産業協同組合）","年度次","0","2021-09-30","0","全国","8256","2023-03-07","","00502000","都道府県知事認可漁業協同組合の職員に関する一斉調査","00502","水産庁","10","沿海地区出資漁業協同組合 購買事業　（１）事業実施状況及び品目別取扱高","03","労働・賃金","02","賃金・労働条件","都道府県知事認可の漁業協同組合の職員に関する一斉調査","確報","水産業協同組合統計表（都道府県知事認可の水産業協同組合）","沿海地区出資漁業協同組合","購買事業　（１）事業実施状況及び品目別取扱高","","",""
"0003404530","都道府県知事認可の漁業協同組合の職員に関する一斉調査 確報 水産業協同組合統計表（都道府県知事認可の水産業協同組合）","年度次","0","2021-09-30","0","都道府県","8256","2023-03-07","","00502000","都道府県知事認可漁業協同組合の職員に関する一斉調査","00502","水産庁","10","沿海地区出資漁業協同組合 購買事業　（１）事業実施状況及び品目別取扱高","03","労働・賃金","02","賃金・労働条件","都道府県知事認可の漁業協同組合の職員に関する一斉調査","確報","水産業協同組合統計表（都道府県知事認可の水産業協同組合）","沿海地区出資漁業協同組合","購買事業　（１）事業実施状況及び品目別取扱高","","",""
"0003372805","都道府県知事認可の漁業協同組合の職員に関する一斉調査 確報 水産業協同組合統計表（都道府県知事認可の水産業協同組合）","年度次","0","2021-09-30","0","全国","1152","2023-03-07","","00502000","都道府県知事認可漁業協同組合の職員に関する一斉調査","00502","水産庁","11","沿海地区出資漁業協同組合 販売事業　（１）販売事業実施組合数","03","労働・賃金","02","賃金・労働条件","都道府県知事認可の漁業協同組合の職員に関する一斉調査","確報","水産業協同組合統計表（都道府県知事認可の水産業協同組合）","沿海地区出資漁業協同組合","販売事業　（１）販売事業実施組合数","","",""
"0003372805","都道府県知事認可の漁業協同組合の職員に関する一斉調査 確報 水産業協同組合統計表（都道府県知事認可の水産業協同組合）","年度次","0","2021-09-30","0","都道府県","1152","2023-03-07","","00502000","都道府県知事認可漁業協同組合の職員に関する一斉調査","00502","水産庁","11","沿海地区出資漁業協同組合 販売事業　（１）販売事業実施組合数","03","労働・賃金","02","賃金・労働条件","都道府県知事認可の漁業協同組合の職員に関する一斉調査","確報","水産業協同組合統計表（都道府県知事認可の水産業協同組合）","沿海地区出資漁業協同組合","販売事業　（１）販売事業実施組合数","","",""
"0003372807","都道府県知事認可の漁業協同組合の職員に関する一斉調査 確報 水産業協同組合統計表（都道府県知事認可の水産業協同組合）","年度次","0","2021-09-30","0","全国","16896","2023-03-07","","00502000","都道府県知事認可漁業協同組合の職員に関する一斉調査","00502","水産庁","11","沿海地区出資漁業協同組合 販売事業　（３）組合員数（正および准組合員数の合計）別取扱高別組合数","03","労働・賃金","02","賃金・労働条件","都道府県知事認可の漁業協同組合の職員に関する一斉調査","確報","水産業協同組合統計表（都道府県知事認可の水産業協同組合）","沿海地区出資漁業協同組合","販売事業　（３）組合員数（正および准組合員数の合計）別取扱高別組合数","","",""
