"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_EXPLANATION"
"0001785201","水産業協同組合年次報告 確報 水産業協同組合年次報告（平成31年３月31日現在）","年度次","201804-201903","2020-01-31","0","該当なし","414","2020-01-31","","00502003","水産業協同組合年次報告","00502","水産庁","1","水産業協同組合年次報告 総括（大臣及び都道府県知事認可の水産業協同組合の合計数）","04","農林水産業","04","水産業","水産業協同組合年次報告","確報","水産業協同組合年次報告（平成31年３月31日現在）","水産業協同組合年次報告","総括（大臣及び都道府県知事認可の水産業協同組合の合計数）","",""
"0001785202","水産業協同組合年次報告 確報 水産業協同組合年次報告（平成31年３月31日現在）","年度次","201804-201903","2020-01-31","0","該当なし","391","2020-01-31","","00502003","水産業協同組合年次報告","00502","水産庁","2","水産業協同組合年次報告 大臣認可の水産業協同組合","04","農林水産業","04","水産業","水産業協同組合年次報告","確報","水産業協同組合年次報告（平成31年３月31日現在）","水産業協同組合年次報告","大臣認可の水産業協同組合","",""
"0001785203","水産業協同組合年次報告 確報 水産業協同組合年次報告（平成31年３月31日現在）","年度次","201804-201903","2020-01-31","0","該当なし","368","2020-01-31","","00502003","水産業協同組合年次報告","00502","水産庁","3","水産業協同組合年次報告 都道府県知事認可の水産業協同組合（全国集計）","04","農林水産業","04","水産業","水産業協同組合年次報告","確報","水産業協同組合年次報告（平成31年３月31日現在）","水産業協同組合年次報告","都道府県知事認可の水産業協同組合（全国集計）","",""
"0001785204","水産業協同組合年次報告 確報 水産業協同組合年次報告（平成31年３月31日現在）","年度次","201804-201903","2020-01-31","0","該当なし","1104","2020-01-31","","00502003","水産業協同組合年次報告","00502","水産庁","5","水産業協同組合年次報告 都道府県知事認可の水産業協同組合の組合種類別、県別集計 沿海地区出資漁業協同組合（沿海出資漁協）","04","農林水産業","04","水産業","水産業協同組合年次報告","確報","水産業協同組合年次報告（平成31年３月31日現在）","水産業協同組合年次報告","都道府県知事認可の水産業協同組合の組合種類別、県別集計","沿海地区出資漁業協同組合（沿海出資漁協）",""
"0001785205","水産業協同組合年次報告 確報 水産業協同組合年次報告（平成31年３月31日現在）","年度次","201804-201903","2020-01-31","0","該当なし","775","2020-01-31","","00502003","水産業協同組合年次報告","00502","水産庁","5","水産業協同組合年次報告 都道府県知事認可の水産業協同組合の組合種類別、県別集計 沿海地区非出資漁業協同組合（沿海非出資漁協）","04","農林水産業","04","水産業","水産業協同組合年次報告","確報","水産業協同組合年次報告（平成31年３月31日現在）","水産業協同組合年次報告","都道府県知事認可の水産業協同組合の組合種類別、県別集計","沿海地区非出資漁業協同組合（沿海非出資漁協）",""
"0001785206","水産業協同組合年次報告 確報 水産業協同組合年次報告（平成31年３月31日現在）","年度次","201804-201903","2020-01-31","0","該当なし","1057","2020-01-31","","00502003","水産業協同組合年次報告","00502","水産庁","5","水産業協同組合年次報告 都道府県知事認可の水産業協同組合の組合種類別、県別集計 内水面地区出資漁業協同組合（内水面出資漁協）","04","農林水産業","04","水産業","水産業協同組合年次報告","確報","水産業協同組合年次報告（平成31年３月31日現在）","水産業協同組合年次報告","都道府県知事認可の水産業協同組合の組合種類別、県別集計","内水面地区出資漁業協同組合（内水面出資漁協）",""
"0001785207","水産業協同組合年次報告 確報 水産業協同組合年次報告（平成31年３月31日現在）","年度次","201804-201903","2020-01-31","0","該当なし","728","2020-01-31","","00502003","水産業協同組合年次報告","00502","水産庁","5","水産業協同組合年次報告 都道府県知事認可の水産業協同組合の組合種類別、県別集計 内水面地区非出資漁業協同組合（内水面非出資漁協）","04","農林水産業","04","水産業","水産業協同組合年次報告","確報","水産業協同組合年次報告（平成31年３月31日現在）","水産業協同組合年次報告","都道府県知事認可の水産業協同組合の組合種類別、県別集計","内水面地区非出資漁業協同組合（内水面非出資漁協）",""
"0001785208","水産業協同組合年次報告 確報 水産業協同組合年次報告（平成31年３月31日現在）","年度次","201804-201903","2020-01-31","0","該当なし","1104","2020-01-31","","00502003","水産業協同組合年次報告","00502","水産庁","5","水産業協同組合年次報告 都道府県知事認可の水産業協同組合の組合種類別、県別集計 業種別出資漁業協同組合（業種別出資漁協）","04","農林水産業","04","水産業","水産業協同組合年次報告","確報","水産業協同組合年次報告（平成31年３月31日現在）","水産業協同組合年次報告","都道府県知事認可の水産業協同組合の組合種類別、県別集計","業種別出資漁業協同組合（業種別出資漁協）",""
"0001785209","水産業協同組合年次報告 確報 水産業協同組合年次報告（平成31年３月31日現在）","年度次","201804-201903","2020-01-31","0","該当なし","775","2020-01-31","","00502003","水産業協同組合年次報告","00502","水産庁","5","水産業協同組合年次報告 都道府県知事認可の水産業協同組合の組合種類別、県別集計 業種別非出資漁業協同組合（業種別非出資漁協）","04","農林水産業","04","水産業","水産業協同組合年次報告","確報","水産業協同組合年次報告（平成31年３月31日現在）","水産業協同組合年次報告","都道府県知事認可の水産業協同組合の組合種類別、県別集計","業種別非出資漁業協同組合（業種別非出資漁協）",""
"0001785210","水産業協同組合年次報告 確報 水産業協同組合年次報告（平成31年３月31日現在）","年度次","201804-201903","2020-01-31","0","該当なし","399","2020-01-31","","00502003","水産業協同組合年次報告","00502","水産庁","5","水産業協同組合年次報告 都道府県知事認可の水産業協同組合の組合種類別、県別集計 漁業生産組合","04","農林水産業","04","水産業","水産業協同組合年次報告","確報","水産業協同組合年次報告（平成31年３月31日現在）","水産業協同組合年次報告","都道府県知事認可の水産業協同組合の組合種類別、県別集計","漁業生産組合",""
