"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_CATEGORY"
"0003014193","工業統計調査 速報 平成20年工業統計速報データ","年次","200801-200812","2010-03-23","0","該当なし","140","2022-07-05","","00550010","工業統計調査","00550","経済産業省","1-1-1","時系列表（事業所数、従業者数、現金給与総額、原材料使用額等、製造品出荷額等、　付加価値額、有形固定資産投資総額） 従業者4人以上の事業所に関する統計（但し、在庫及び有形固定資産関連は従業者30人以上）","05","鉱工業","02","製造業","工業統計調査","速報","平成20年工業統計速報データ","時系列表（事業所数、従業者数、現金給与総額、原材料使用額等、製造品出荷額等、　付加価値額、有形固定資産投資総額）","従業者4人以上の事業所に関する統計（但し、在庫及び有形固定資産関連は従業者30人以上）",""
"0003014199","工業統計調査 速報 平成20年工業統計速報データ","年次","200801-200812","2010-03-23","0","該当なし","825","2022-07-05","","00550010","工業統計調査","00550","経済産業省","1-2-1","産業中分類別（事業所数、従業者数、現金給与総額、原材料使用額等、製造品出荷額等、付加価値額、年末在庫合計額、製造品年末在庫額、半製品・仕掛品年末価額、原材料・燃料年末在庫額、有形固定資産投資総額） 従業者4人以上の事業所に関する統計（但し、在庫及び有形固定資産関連は従業者30人以上）","05","鉱工業","02","製造業","工業統計調査","速報","平成20年工業統計速報データ","産業中分類別（事業所数、従業者数、現金給与総額、原材料使用額等、製造品出荷額等、付加価値額、年末在庫合計額、製造品年末在庫額、半製品・仕掛品年末価額、原材料・燃料年末在庫額、有形固定資産投資総額）","従業者4人以上の事業所に関する統計（但し、在庫及び有形固定資産関連は従業者30人以上）",""
"0003094240","工業統計調査 速報 平成20年工業統計速報データ","年次","200801-200812","2010-03-23","0","該当なし","132","2022-07-05","","00550010","工業統計調査","00550","経済産業省","1-3-1","従業者規模別（事業所数、従業者数） 従業者4人以上の事業所に関する統計（但し、在庫及び有形固定資産関連は従業者30人以上）","05","鉱工業","02","製造業","工業統計調査","速報","平成20年工業統計速報データ","従業者規模別（事業所数、従業者数）","従業者4人以上の事業所に関する統計（但し、在庫及び有形固定資産関連は従業者30人以上）",""
"0003094258","工業統計調査 速報 平成20年工業統計速報データ","年次","200801-200812","2010-03-23","0","該当なし","66","2022-07-05","","00550010","工業統計調査","00550","経済産業省","1-3-2","従業者規模別（現金給与総額） 従業者4人以上の事業所に関する統計（但し、在庫及び有形固定資産関連は従業者30人以上）","05","鉱工業","02","製造業","工業統計調査","速報","平成20年工業統計速報データ","従業者規模別（現金給与総額）","従業者4人以上の事業所に関する統計（但し、在庫及び有形固定資産関連は従業者30人以上）",""
"0003094259","工業統計調査 速報 平成20年工業統計速報データ","年次","200801-200812","2010-03-23","0","該当なし","99","2022-07-05","","00550010","工業統計調査","00550","経済産業省","1-3-3","従業者規模別（原材料使用額等、製造品出荷額等、付加価値額） 従業者4人以上の事業所に関する統計（但し、在庫及び有形固定資産関連は従業者30人以上）","05","鉱工業","02","製造業","工業統計調査","速報","平成20年工業統計速報データ","従業者規模別（原材料使用額等、製造品出荷額等、付加価値額）","従業者4人以上の事業所に関する統計（但し、在庫及び有形固定資産関連は従業者30人以上）",""
"0003094274","工業統計調査 速報 平成20年工業統計速報データ","年次","200801-200812","2010-03-23","0","該当なし","48","2022-07-05","","00550010","工業統計調査","00550","経済産業省","1-3-4","従業者規模別（有形固定資産投資総額） 従業者4人以上の事業所に関する統計（但し、在庫及び有形固定資産関連は従業者30人以上）","05","鉱工業","02","製造業","工業統計調査","速報","平成20年工業統計速報データ","従業者規模別（有形固定資産投資総額）","従業者4人以上の事業所に関する統計（但し、在庫及び有形固定資産関連は従業者30人以上）",""
"0003094301","工業統計調査 速報 平成20年工業統計速報データ","年次","200801-200812","2010-03-23","0","該当なし","576","2022-07-05","","00550010","工業統計調査","00550","経済産業省","1-4-1","都道府県別（事業所数、従業者数） 従業者4人以上の事業所に関する統計（但し、在庫及び有形固定資産関連は従業者30人以上）","05","鉱工業","02","製造業","工業統計調査","速報","平成20年工業統計速報データ","都道府県別（事業所数、従業者数）","従業者4人以上の事業所に関する統計（但し、在庫及び有形固定資産関連は従業者30人以上）",""
"0003094302","工業統計調査 速報 平成20年工業統計速報データ","年次","200801-200812","2010-03-23","0","該当なし","480","2022-07-05","","00550010","工業統計調査","00550","経済産業省","1-4-2","都道府県別（製造品出荷額等、付加価値額） 従業者4人以上の事業所に関する統計（但し、在庫及び有形固定資産関連は従業者30人以上）","05","鉱工業","02","製造業","工業統計調査","速報","平成20年工業統計速報データ","都道府県別（製造品出荷額等、付加価値額）","従業者4人以上の事業所に関する統計（但し、在庫及び有形固定資産関連は従業者30人以上）",""
"0003094303","工業統計調査 速報 平成20年工業統計速報データ","年次","200801-200812","2010-03-23","0","該当なし","528","2022-07-05","","00550010","工業統計調査","00550","経済産業省","1-5-1","都道府県別（製造品出荷額等の都道府県別順位及び主要産業の概況） 従業者4人以上の事業所に関する統計（但し、在庫及び有形固定資産関連は従業者30人以上）","05","鉱工業","02","製造業","工業統計調査","速報","平成20年工業統計速報データ","都道府県別（製造品出荷額等の都道府県別順位及び主要産業の概況）","従業者4人以上の事業所に関する統計（但し、在庫及び有形固定資産関連は従業者30人以上）",""
"0003014203","工業統計調査 速報 平成20年工業統計速報データ","年次","200801-200812","2010-03-12","0","該当なし","2400","2022-07-05","","00550010","工業統計調査","00550","経済産業省","2-1","都道府県・産業中分類別　事業所数 従業者10人以上の事業所に関する統計","05","鉱工業","02","製造業","工業統計調査","速報","平成20年工業統計速報データ","都道府県・産業中分類別　事業所数","従業者10人以上の事業所に関する統計",""
"0003014204","工業統計調査 速報 平成20年工業統計速報データ","年次","200801-200812","2010-03-12","0","該当なし","2400","2022-07-05","","00550010","工業統計調査","00550","経済産業省","2-2","都道府県・産業中分類別　製造品出荷額等 従業者10人以上の事業所に関する統計","05","鉱工業","02","製造業","工業統計調査","速報","平成20年工業統計速報データ","都道府県・産業中分類別　製造品出荷額等","従業者10人以上の事業所に関する統計",""
