"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY2","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY4"
"0003014475","商業統計調査 統計表一覧 平成19年商業統計 速報","-","200701-200712","2010-03-22","0","該当なし","2772","2010-03-22","","00550020","商業統計調査","00550","経済産業省","1-01","データ(平成20年4月3日公表) 産業分類細分類別の事業所数（従業者規模別）、従業者数、年間商品販売額、その他の収入額、商品手持額及び売場面積","06","商業・サービス業","01","商業","商業統計調査","統計表一覧","平成19年商業統計","速報","データ(平成20年4月3日公表)","産業分類細分類別の事業所数（従業者規模別）、従業者数、年間商品販売額、その他の収入額、商品手持額及び売場面積","","",""
"0003014476","商業統計調査 統計表一覧 平成19年商業統計 速報","-","200701-200712","2010-03-22","0","該当なし","8712","2010-03-22","","00550020","商業統計調査","00550","経済産業省","1-02","データ(平成20年4月3日公表) 産業分類細分類別の法人・個人別、男女別の就業者数、従業者数（内訳別）、臨時雇用者数、従業者・臨時雇用者のうち他への派遣従業者数、他からの派遣従業者数及びパート・アルバイトなどの８時間換算雇用者数","06","商業・サービス業","01","商業","商業統計調査","統計表一覧","平成19年商業統計","速報","データ(平成20年4月3日公表)","産業分類細分類別の法人・個人別、男女別の就業者数、従業者数（内訳別）、臨時雇用者数、従業者・臨時雇用者のうち他への派遣従業者数、他からの派遣従業者数及びパート・アルバイトなどの８時間換算雇用者数","","",""
"0003014477","商業統計調査 統計表一覧 平成19年商業統計 速報","-","200701-200712","2010-03-22","0","該当なし","17688","2010-03-22","","00550020","商業統計調査","00550","経済産業省","1-03","データ(平成20年4月3日公表) 都道府県別、東京特別区・政令指定都市別、産業分類小分類別の事業所数、従業者数、年間商品販売額、商品手持額及び売場面積","06","商業・サービス業","01","商業","商業統計調査","統計表一覧","平成19年商業統計","速報","データ(平成20年4月3日公表)","都道府県別、東京特別区・政令指定都市別、産業分類小分類別の事業所数、従業者数、年間商品販売額、商品手持額及び売場面積","","",""
"0003014478","商業統計調査 統計表一覧 平成19年商業統計 速報","-","200701-200712","2010-03-22","0","該当なし","1620","2010-03-22","","00550020","商業統計調査","00550","経済産業省","1-04","データ(平成20年4月3日公表) 産業分類中分類別、従業者規模別、年次別の事業所数（法人・個人別）、増減率","06","商業・サービス業","01","商業","商業統計調査","統計表一覧","平成19年商業統計","速報","データ(平成20年4月3日公表)","産業分類中分類別、従業者規模別、年次別の事業所数（法人・個人別）、増減率","","",""
"0003014479","商業統計調査 統計表一覧 平成19年商業統計 速報","-","200701-200712","2010-03-22","0","該当なし","522","2010-03-22","","00550020","商業統計調査","00550","経済産業省","1-05","データ(平成20年4月3日公表) 産業分類小分類別、年次別の事業所数（法人・個人別）及び増減率","06","商業・サービス業","01","商業","商業統計調査","統計表一覧","平成19年商業統計","速報","データ(平成20年4月3日公表)","産業分類小分類別、年次別の事業所数（法人・個人別）及び増減率","","",""
"0003014480","商業統計調査 統計表一覧 平成19年商業統計 速報","-","200701-200712","2010-03-22","0","該当なし","522","2010-03-22","","00550020","商業統計調査","00550","経済産業省","1-06","データ(平成20年4月3日公表) 産業分類小分類別、年次別の従業者数（法人・個人別）及び増減率","06","商業・サービス業","01","商業","商業統計調査","統計表一覧","平成19年商業統計","速報","データ(平成20年4月3日公表)","産業分類小分類別、年次別の従業者数（法人・個人別）及び増減率","","",""
"0003014481","商業統計調査 統計表一覧 平成19年商業統計 速報","-","200701-200712","2010-03-22","0","該当なし","522","2010-03-22","","00550020","商業統計調査","00550","経済産業省","1-07","データ(平成20年4月3日公表) 産業分類小分類別、年次別の年間商品販売額（法人・個人別）及び増減率","06","商業・サービス業","01","商業","商業統計調査","統計表一覧","平成19年商業統計","速報","データ(平成20年4月3日公表)","産業分類小分類別、年次別の年間商品販売額（法人・個人別）及び増減率","","",""
"0003014482","商業統計調査 統計表一覧 平成19年商業統計 速報","-","200701-200712","2010-03-22","0","該当なし","696","2010-03-22","","00550020","商業統計調査","00550","経済産業省","1-08","データ(平成20年4月3日公表) 産業分類小分類別、年次別の１事業所当たり年間商品販売額、就業者１人当たり年間商品販売額、従業者１人当たり年間商品販売額及び売場面積１平方メートル当たり年間商品販売額及び増減率","06","商業・サービス業","01","商業","商業統計調査","統計表一覧","平成19年商業統計","速報","データ(平成20年4月3日公表)","産業分類小分類別、年次別の１事業所当たり年間商品販売額、就業者１人当たり年間商品販売額、従業者１人当たり年間商品販売額及び売場面積１平方メートル当たり年間商品販売額及び増減率","","",""
"0003014483","商業統計調査 統計表一覧 平成19年商業統計 速報","-","200701-200712","2010-03-22","0","該当なし","770","2010-03-22","","00550020","商業統計調査","00550","経済産業省","1-09","データ(平成20年4月3日公表) 小売業の産業分類小分類別、商品販売形態別の事業所数、年間商品販売額及び構成比","06","商業・サービス業","01","商業","商業統計調査","統計表一覧","平成19年商業統計","速報","データ(平成20年4月3日公表)","小売業の産業分類小分類別、商品販売形態別の事業所数、年間商品販売額及び構成比","","",""
"0003014484","商業統計調査 統計表一覧 平成19年商業統計 速報","-","200701-200712","2010-03-22","0","該当なし","25056","2010-03-22","","00550020","商業統計調査","00550","経済産業省","1-10","データ(平成20年4月3日公表) 都道府県別、産業分類小分類別の事業所数、従業者数、年間商品販売額、構成比及び増減率","06","商業・サービス業","01","商業","商業統計調査","統計表一覧","平成19年商業統計","速報","データ(平成20年4月3日公表)","都道府県別、産業分類小分類別の事業所数、従業者数、年間商品販売額、構成比及び増減率","","",""
