"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY2","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY3","TITLE.@no","TITLE.$","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3"
"0003033209","経済産業省生産動態統計 鉄鋼・非鉄金属・金属製品統計 確報（１）主要製品統計表(時系列表)","鉄鋼 (1)銑鉄（生産・消費・販売・在庫） 鉄鋼編１","-","201001","2011-03-31","0","該当なし","364","2025-04-14","","00550200","経済産業省生産動態統計調査","00550","経済産業省","05","鉱工業","02","製造業","経済産業省生産動態統計","鉄鋼・非鉄金属・金属製品統計","確報（１）主要製品統計表(時系列表)","鉄鋼","(1)銑鉄（生産・消費・販売・在庫）","鉄鋼編１","","","","",""
"0003033210","経済産業省生産動態統計 鉄鋼・非鉄金属・金属製品統計 確報（１）主要製品統計表(時系列表)","鉄鋼 (2)フェロアロイ（生産） 鉄鋼編１","-","201001","2011-03-31","0","該当なし","364","2025-04-14","","00550200","経済産業省生産動態統計調査","00550","経済産業省","05","鉱工業","02","製造業","経済産業省生産動態統計","鉄鋼・非鉄金属・金属製品統計","確報（１）主要製品統計表(時系列表)","鉄鋼","(2)フェロアロイ（生産）","鉄鋼編１","","","","",""
"0003033211","経済産業省生産動態統計 鉄鋼・非鉄金属・金属製品統計 確報（１）主要製品統計表(時系列表)","鉄鋼 (3)粗鋼 （生産・消費・在庫） １、圧延、鍛鋼、鋳鋼別生産 鉄鋼編１","-","201001","2011-03-31","0","該当なし","572","2025-04-14","","00550200","経済産業省生産動態統計調査","00550","経済産業省","05","鉱工業","02","製造業","経済産業省生産動態統計","鉄鋼・非鉄金属・金属製品統計","確報（１）主要製品統計表(時系列表)","鉄鋼","(3)粗鋼 （生産・消費・在庫）","鉄鋼編１","１、圧延、鍛鋼、鋳鋼別生産","","","",""
"0003033212","経済産業省生産動態統計 鉄鋼・非鉄金属・金属製品統計 確報（１）主要製品統計表(時系列表)","鉄鋼 (3)粗鋼 （生産・消費・在庫） 2、鋼塊の転炉、電気炉別生産 鉄鋼編１","-","201001","2011-03-31","0","該当なし","468","2025-04-14","","00550200","経済産業省生産動態統計調査","00550","経済産業省","05","鉱工業","02","製造業","経済産業省生産動態統計","鉄鋼・非鉄金属・金属製品統計","確報（１）主要製品統計表(時系列表)","鉄鋼","(3)粗鋼 （生産・消費・在庫）","鉄鋼編１","2、鋼塊の転炉、電気炉別生産","","","",""
"0003033213","経済産業省生産動態統計 鉄鋼・非鉄金属・金属製品統計 確報（１）主要製品統計表(時系列表)","鉄鋼 (3)粗鋼 （生産・消費・在庫） 3、粗鋼消費 鉄鋼編１","-","201001","2011-03-31","0","該当なし","182","2025-04-14","","00550200","経済産業省生産動態統計調査","00550","経済産業省","05","鉱工業","02","製造業","経済産業省生産動態統計","鉄鋼・非鉄金属・金属製品統計","確報（１）主要製品統計表(時系列表)","鉄鋼","(3)粗鋼 （生産・消費・在庫）","鉄鋼編１","3、粗鋼消費","","","",""
"0003033214","経済産業省生産動態統計 鉄鋼・非鉄金属・金属製品統計 確報（１）主要製品統計表(時系列表)","鉄鋼 (3)粗鋼 （生産・消費・在庫） 4、粗鋼在庫 鉄鋼編１","-","201001","2011-03-31","0","該当なし","182","2025-04-14","","00550200","経済産業省生産動態統計調査","00550","経済産業省","05","鉱工業","02","製造業","経済産業省生産動態統計","鉄鋼・非鉄金属・金属製品統計","確報（１）主要製品統計表(時系列表)","鉄鋼","(3)粗鋼 （生産・消費・在庫）","鉄鋼編１","4、粗鋼在庫","","","",""
"0003033215","経済産業省生産動態統計 鉄鋼・非鉄金属・金属製品統計 確報（１）主要製品統計表(時系列表)","鉄鋼 (4)鋼半製品 （生産・消費・在庫） 鉄鋼編１","-","201001","2011-03-31","0","該当なし","234","2025-04-14","","00550200","経済産業省生産動態統計調査","00550","経済産業省","05","鉱工業","02","製造業","経済産業省生産動態統計","鉄鋼・非鉄金属・金属製品統計","確報（１）主要製品統計表(時系列表)","鉄鋼","(4)鋼半製品 （生産・消費・在庫）","鉄鋼編１","","","","",""
"0003033231","経済産業省生産動態統計 鉄鋼・非鉄金属・金属製品統計 確報（１）主要製品統計表(時系列表)","鉄鋼 (5)鍛鋼品（打放）（生産・販売・在庫） 鉄鋼編１","-","201001","2011-03-31","0","該当なし","234","2025-04-14","","00550200","経済産業省生産動態統計調査","00550","経済産業省","05","鉱工業","02","製造業","経済産業省生産動態統計","鉄鋼・非鉄金属・金属製品統計","確報（１）主要製品統計表(時系列表)","鉄鋼","(5)鍛鋼品（打放）（生産・販売・在庫）","鉄鋼編１","","","","",""
"0003033232","経済産業省生産動態統計 鉄鋼・非鉄金属・金属製品統計 確報（１）主要製品統計表(時系列表)","鉄鋼 (6)鋳鋼品（鋳放）（生産・販売・在庫） 鉄鋼編１","-","201001","2011-03-31","0","該当なし","234","2025-04-14","","00550200","経済産業省生産動態統計調査","00550","経済産業省","05","鉱工業","02","製造業","経済産業省生産動態統計","鉄鋼・非鉄金属・金属製品統計","確報（１）主要製品統計表(時系列表)","鉄鋼","(6)鋳鋼品（鋳放）（生産・販売・在庫）","鉄鋼編１","","","","",""
"0003033235","経済産業省生産動態統計 鉄鋼・非鉄金属・金属製品統計 確報（１）主要製品統計表(時系列表)","鉄鋼 (9)めっき鋼材、冷間ロール成型形鋼（生産・販売・在庫） 鉄鋼編１","-","201001","2011-03-31","0","該当なし","780","2025-04-14","","00550200","経済産業省生産動態統計調査","00550","経済産業省","05","鉱工業","02","製造業","経済産業省生産動態統計","鉄鋼・非鉄金属・金属製品統計","確報（１）主要製品統計表(時系列表)","鉄鋼","(9)めっき鋼材、冷間ロール成型形鋼（生産・販売・在庫）","鉄鋼編１","","","","",""
