"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY2","TITLE_SPEC.TABLE_SUB_CATEGORY3"
"0003171939","石油製品需給動態統計調査 石油統計 年報","資源・エネルギー統計年報 年報 原油 原油在庫 月次","年次","0","2024-02-16","0","該当なし","1776","2024-02-16","","00551020","石油製品需給動態統計調査","00551","資源エネルギー庁","06","商業・サービス業","02","需給流通","石油製品需給動態統計調査","石油統計","年報","資源・エネルギー統計年報","年報","原油","原油在庫","月次"
"0003171945","石油製品需給動態統計調査 石油統計 年報","資源・エネルギー統計年報 年報 原油 原油処理 月次","年次","0","2024-02-16","0","該当なし","1332","2024-02-16","","00551020","石油製品需給動態統計調査","00551","資源エネルギー庁","06","商業・サービス業","02","需給流通","石油製品需給動態統計調査","石油統計","年報","資源・エネルギー統計年報","年報","原油","原油処理","月次"
"0003171949","石油製品需給動態統計調査 石油統計 年報","資源・エネルギー統計年報 年報 石油製品 石油製品の輸出入／国・地域別月別輸入 月次","年次","0","2024-02-16","0","該当なし","70755","2024-02-16","","00551020","石油製品需給動態統計調査","00551","資源エネルギー庁","06","商業・サービス業","02","需給流通","石油製品需給動態統計調査","石油統計","年報","資源・エネルギー統計年報","年報","石油製品","石油製品の輸出入／国・地域別月別輸入","月次"
"0003171952","石油製品需給動態統計調査 石油統計 年報","資源・エネルギー統計年報 年報 参考資料 石油備蓄量推移","年次","0","2024-02-16","0","該当なし","2379","2024-02-16","","00551020","石油製品需給動態統計調査","00551","資源エネルギー庁","06","商業・サービス業","02","需給流通","石油製品需給動態統計調査","石油統計","年報","資源・エネルギー統計年報","年報","参考資料","石油備蓄量推移",""
"0003171965","石油製品需給動態統計調査 石油統計 年報","資源・エネルギー統計年報 年報 原油 非精製用出荷内訳 月次","年次","0","2024-02-16","0","該当なし","12444","2024-02-16","","00551020","石油製品需給動態統計調査","00551","資源エネルギー庁","06","商業・サービス業","02","需給流通","石油製品需給動態統計調査","石油統計","年報","資源・エネルギー統計年報","年報","原油","非精製用出荷内訳","月次"
"0003171969","石油製品需給動態統計調査 石油統計 年報","資源・エネルギー統計年報 年報 石油製品 石油製品の輸出入／月別輸入 月次","年次","0","2024-02-16","0","該当なし","6154","2024-02-16","","00551020","石油製品需給動態統計調査","00551","資源エネルギー庁","06","商業・サービス業","02","需給流通","石油製品需給動態統計調査","石油統計","年報","資源・エネルギー統計年報","年報","石油製品","石油製品の輸出入／月別輸入","月次"
"0003171973","石油製品需給動態統計調査 石油統計 年報","資源・エネルギー統計年報 年報 参考資料 石油輸入価格推移","年次","0","2024-02-16","0","該当なし","1281","2024-02-16","","00551020","石油製品需給動態統計調査","00551","資源エネルギー庁","06","商業・サービス業","02","需給流通","石油製品需給動態統計調査","石油統計","年報","資源・エネルギー統計年報","年報","参考資料","石油輸入価格推移",""
"0003171983","石油製品需給動態統計調査 石油統計 年報","資源・エネルギー統計年報 年報 原油 原油地域別、国別輸入 月次","年次","0","2024-02-16","0","該当なし","10980","2024-02-16","","00551020","石油製品需給動態統計調査","00551","資源エネルギー庁","06","商業・サービス業","02","需給流通","石油製品需給動態統計調査","石油統計","年報","資源・エネルギー統計年報","年報","原油","原油地域別、国別輸入","月次"
"0003171984","石油製品需給動態統計調査 石油統計 年報","資源・エネルギー統計年報 年報 原油 原油油種別輸入 月次","年次","0","2024-02-16","0","該当なし","46482","2024-02-16","","00551020","石油製品需給動態統計調査","00551","資源エネルギー庁","06","商業・サービス業","02","需給流通","石油製品需給動態統計調査","石油統計","年報","資源・エネルギー統計年報","年報","原油","原油油種別輸入","月次"
"0003171988","石油製品需給動態統計調査 石油統計 年報","資源・エネルギー統計年報 年報 石油製品 石油製品国内向月別販売 月次","年次","0","2024-02-16","0","該当なし","3111","2024-02-16","","00551020","石油製品需給動態統計調査","00551","資源エネルギー庁","06","商業・サービス業","02","需給流通","石油製品需給動態統計調査","石油統計","年報","資源・エネルギー統計年報","年報","石油製品","石油製品国内向月別販売","月次"
