"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE.@no","TITLE.$","TITLE_SPEC.TABLE_SUB_CATEGORY2"
"0003014751","ガス事業生産動態統計調査 統計表一覧 平成20年","月次報 12月分","-","0","2010-03-22","0","該当なし","408","2010-03-22","","00551130","ガス事業生産動態統計調査","00551","資源エネルギー庁","09","エネルギー・水","02","ガス","ガス事業生産動態統計調査","統計表一覧","平成20年","月次報","12月分","","","",""
"0003014752","ガス事業生産動態統計調査 統計表一覧 平成20年","四半期報 1～3月期","-","0","2010-03-22","0","該当なし","296","2018-09-06","","00551130","ガス事業生産動態統計調査","00551","資源エネルギー庁","09","エネルギー・水","02","ガス","ガス事業生産動態統計調査","統計表一覧","平成20年","四半期報","1～3月期","","","",""
"0003014753","ガス事業生産動態統計調査 統計表一覧 平成20年","総括表 平成20年1月～平成20年12月","-","0","2010-03-22","0","該当なし","408","2010-03-22","","00551130","ガス事業生産動態統計調査","00551","資源エネルギー庁","09","エネルギー・水","02","ガス","ガス事業生産動態統計調査","統計表一覧","平成20年","総括表","平成20年1月～平成20年12月","","","",""
"0003014754","ガス事業生産動態統計調査 統計表一覧 平成19年","ガス生産量及び購入量内訳 平成19年年計","-","0","2010-03-22","0","該当なし","1218","2010-03-22","","00551130","ガス事業生産動態統計調査","00551","資源エネルギー庁","09","エネルギー・水","02","ガス","ガス事業生産動態統計調査","統計表一覧","平成19年","","ガス生産量及び購入量内訳","平成19年年計","","",""
"0003014755","ガス事業生産動態統計調査 統計表一覧 平成19年","製品ガス生産・購入・販売・在庫及び需要家メーター数 平成19年年計","-","0","2010-03-22","0","該当なし","2093","2010-03-22","","00551130","ガス事業生産動態統計調査","00551","資源エネルギー庁","09","エネルギー・水","02","ガス","ガス事業生産動態統計調査","統計表一覧","平成19年","","製品ガス生産・購入・販売・在庫及び需要家メーター数","平成19年年計","","",""
"0003014756","ガス事業生産動態統計調査 統計表一覧 平成19年","原料 平成19年年計","-","0","2010-03-22","0","該当なし","820","2010-03-22","","00551130","ガス事業生産動態統計調査","00551","資源エネルギー庁","09","エネルギー・水","02","ガス","ガス事業生産動態統計調査","統計表一覧","平成19年","","原料","平成19年年計","","",""
"0003014757","ガス事業生産動態統計調査 統計表一覧 平成19年","託送供給・労務・電力 平成19年年計","-","0","2010-03-22","0","該当なし","358","2010-03-22","","00551130","ガス事業生産動態統計調査","00551","資源エネルギー庁","09","エネルギー・水","02","ガス","ガス事業生産動態統計調査","統計表一覧","平成19年","","託送供給・労務・電力","平成19年年計","","",""
"0003225421","ガス事業生産動態統計調査 統計表一覧","","月次","201801","2018-08-25","0","全国","3450","2018-09-06","","00551130","ガス事業生産動態統計調査","00551","資源エネルギー庁","09","エネルギー・水","02","ガス","ガス事業生産動態統計調査","統計表一覧","","月次総括表","月次総括表","月次","01","月次総括表 月次総括表 月次",""
"0003225494","ガス事業生産動態統計調査 統計表一覧","","月次","201703","2018-08-25","0","全国","45288","2018-09-06","","00551130","ガス事業生産動態統計調査","00551","資源エネルギー庁","09","エネルギー・水","02","ガス","ガス事業生産動態統計調査","統計表一覧","","月次総括表","月次総括表","月次","01","月次総括表 月次総括表 月次",""
"0003225497","ガス事業生産動態統計調査 統計表一覧","","年次","201610-201612","2018-08-25","0","全国","1632","2018-09-06","","00551130","ガス事業生産動態統計調査","00551","資源エネルギー庁","09","エネルギー・水","02","ガス","ガス事業生産動態統計調査","統計表一覧","","月次総括表","月次総括表（四半期計）","四半期計","01","月次総括表 月次総括表（四半期計） 四半期計",""
