"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION","TITLE_SPEC.TABLE_SUB_CATEGORY1"
"0003254482","知的財産活動調査","年度次","0","2022-01-11","0","該当なし","16584","2022-01-12","","00552010","知的財産活動調査","00552","特許庁","1-1","業種別出願件数階級別 売上高、営業利益高、経常利益高、従業者数、研究関係従業者数及び研究費","11","情報通信・科学技術","03","知的財産","知的財産活動調査","業種別出願件数階級別","売上高、営業利益高、経常利益高、従業者数、研究関係従業者数及び研究費","（注1）各設問項目によって標本数が異なるため、例えば研究関係従業者数の集計結果が従業者数の集計結果を上回るなど、大小関係の逆転が生じ得る点に留意する必要がある。（注2）業種「個人」において売上高等の記載される場合があるが、これは事業を営む個人事業主が調査票の業種を「個人」として回答したことによる。",""
"0003258424","知的財産活動調査","年度次","0","2022-01-11","0","該当なし","3648","2022-01-12","","00552010","知的財産活動調査","00552","特許庁","1-1","【更新終了】業種別出願件数階級別（平成19年度［2007年度］まで） 売上高、営業利益高、経常利益高、従業者数、研究関係従業者数及び研究費","11","情報通信・科学技術","03","知的財産","知的財産活動調査","【更新終了】業種別出願件数階級別（平成19年度［2007年度］まで）","売上高、営業利益高、経常利益高、従業者数、研究関係従業者数及び研究費","（注1）各設問項目によって標本数が異なるため、例えば研究関係従業者数の集計結果が従業者数の集計結果を上回るなど、大小関係の逆転が生じ得る点に留意する必要がある。（注2）業種「個人」において売上高等の記載される場合があるが、これは事業を営む個人事業主が調査票の業種を「個人」として回答したことによる。",""
"0003258283","知的財産活動調査","年度次","0","2022-01-11","0","該当なし","1385","2022-01-12","","00552010","知的財産活動調査","00552","特許庁","1-10","業種別出願件数階級別 業種別出願件数階級別の産業財産権制度の利用状況について 意匠登録出願－標本数","11","情報通信・科学技術","03","知的財産","知的財産活動調査","業種別出願件数階級別","業種別出願件数階級別の産業財産権制度の利用状況について","","意匠登録出願－標本数"
"0003269939","知的財産活動調査","年度次","0","2022-01-11","0","該当なし","7296","2022-01-12","","00552010","知的財産活動調査","00552","特許庁","1-10","【更新終了】業種別出願件数階級別（平成19年度［2007年度］まで） 業種別出願件数階級別の産業財産権制度の実施状況について 国内有償実施許諾契約","11","情報通信・科学技術","03","知的財産","知的財産活動調査","【更新終了】業種別出願件数階級別（平成19年度［2007年度］まで）","業種別出願件数階級別の産業財産権制度の実施状況について","","国内有償実施許諾契約"
"0003269980","知的財産活動調査","年度次","0","2022-01-11","0","該当なし","114","2022-01-12","","00552010","知的財産活動調査","00552","特許庁","1-10","【更新終了】業種別出願件数階級別（平成19年度［2007年度］まで） 業種別出願件数階級別の産業財産権制度の実施状況について 国内有償実施許諾契約－標本数","11","情報通信・科学技術","03","知的財産","知的財産活動調査","【更新終了】業種別出願件数階級別（平成19年度［2007年度］まで）","業種別出願件数階級別の産業財産権制度の実施状況について","","国内有償実施許諾契約－標本数"
"0003270459","知的財産活動調査","年度次","0","2022-01-11","0","該当なし","190","2022-01-12","","00552010","知的財産活動調査","00552","特許庁","1-10","【更新終了】業種別出願件数階級別（平成18年度［2006年度］まで） 業種別出願件数階級別の知的財産部門の活動状況について 有償実施許諾契約－標本数","11","情報通信・科学技術","03","知的財産","知的財産活動調査","【更新終了】業種別出願件数階級別（平成18年度［2006年度］まで）","業種別出願件数階級別の知的財産部門の活動状況について","","有償実施許諾契約－標本数"
"0003275208","知的財産活動調査","年度次","0","2022-01-11","0","該当なし","8652","2022-01-12","","00552010","知的財産活動調査","00552","特許庁","1-10","業種別出願件数階級別 業種別出願件数階級別の産業財産権制度の利用状況について 意匠登録出願","11","情報通信・科学技術","03","知的財産","知的財産活動調査","業種別出願件数階級別","業種別出願件数階級別の産業財産権制度の利用状況について","","意匠登録出願"
"0003258403","知的財産活動調査","年度次","0","2022-01-11","0","該当なし","1385","2022-01-12","","00552010","知的財産活動調査","00552","特許庁","1-11","業種別出願件数階級別 業種別出願件数階級別の産業財産権制度の利用状況について 商標登録出願又は更新申請－標本数","11","情報通信・科学技術","03","知的財産","知的財産活動調査","業種別出願件数階級別","業種別出願件数階級別の産業財産権制度の利用状況について","","商標登録出願又は更新申請－標本数"
"0003258404","知的財産活動調査","年度次","0","2022-01-11","0","該当なし","15315","2022-01-12","","00552010","知的財産活動調査","00552","特許庁","1-11","業種別出願件数階級別 業種別出願件数階級別の産業財産権制度の利用状況について 商標登録出願又は更新申請","11","情報通信・科学技術","03","知的財産","知的財産活動調査","業種別出願件数階級別","業種別出願件数階級別の産業財産権制度の利用状況について","","商標登録出願又は更新申請"
"0003270000","知的財産活動調査","年度次","0","2022-01-11","0","該当なし","114","2022-01-12","","00552010","知的財産活動調査","00552","特許庁","1-11","【更新終了】業種別出願件数階級別（平成19年度［2007年度］まで） 業種別出願件数階級別の産業財産権制度の実施状況について 外国有償実施許諾契約－標本数","11","情報通信・科学技術","03","知的財産","知的財産活動調査","【更新終了】業種別出願件数階級別（平成19年度［2007年度］まで）","業種別出願件数階級別の産業財産権制度の実施状況について","","外国有償実施許諾契約－標本数"
"0003270002","知的財産活動調査","年度次","0","2022-01-11","0","該当なし","25536","2022-01-12","","00552010","知的財産活動調査","00552","特許庁","1-11","【更新終了】業種別出願件数階級別（平成19年度［2007年度］まで） 業種別出願件数階級別の産業財産権制度の実施状況について 外国有償実施許諾契約","11","情報通信・科学技術","03","知的財産","知的財産活動調査","【更新終了】業種別出願件数階級別（平成19年度［2007年度］まで）","業種別出願件数階級別の産業財産権制度の実施状況について","","外国有償実施許諾契約"
"0003258408","知的財産活動調査","年度次","0","2022-01-11","0","該当なし","1385","2022-01-12","","00552010","知的財産活動調査","00552","特許庁","1-12","業種別出願件数階級別 業種別出願件数階級別の産業財産権制度の利用状況について 利用件数と実施件数－標本数","11","情報通信・科学技術","03","知的財産","知的財産活動調査","業種別出願件数階級別","業種別出願件数階級別の産業財産権制度の利用状況について","","利用件数と実施件数－標本数"
"0003258409","知的財産活動調査","年度次","0","2022-01-11","0","該当なし","56608","2022-01-12","","00552010","知的財産活動調査","00552","特許庁","1-12","業種別出願件数階級別 業種別出願件数階級別の産業財産権制度の利用状況について 利用件数と実施件数－権利所有件数、うち利用件数","11","情報通信・科学技術","03","知的財産","知的財産活動調査","業種別出願件数階級別","業種別出願件数階級別の産業財産権制度の利用状況について","","利用件数と実施件数－権利所有件数、うち利用件数"
"0003258410","知的財産活動調査","年度次","0","2022-01-11","0","該当なし","22764","2022-01-12","","00552010","知的財産活動調査","00552","特許庁","1-12","業種別出願件数階級別 業種別出願件数階級別の産業財産権制度の利用状況について 利用件数と実施件数－うち未利用件数","11","情報通信・科学技術","03","知的財産","知的財産活動調査","業種別出願件数階級別","業種別出願件数階級別の産業財産権制度の利用状況について","","利用件数と実施件数－うち未利用件数"
"0003268180","知的財産活動調査","年度次","0","2022-01-11","0","該当なし","950","2022-01-12","","00552010","知的財産活動調査","00552","特許庁","1-12","【更新終了】業種別出願件数階級別（平成28年度［2016年度］まで） 業種別出願件数階級別の産業財産権制度の実施状況について 産業財産権の売買－標本数","11","情報通信・科学技術","03","知的財産","知的財産活動調査","【更新終了】業種別出願件数階級別（平成28年度［2016年度］まで）","業種別出願件数階級別の産業財産権制度の実施状況について","","産業財産権の売買－標本数"
"0003268181","知的財産活動調査","年度次","0","2022-01-11","0","該当なし","15200","2022-01-12","","00552010","知的財産活動調査","00552","特許庁","1-12","【更新終了】業種別出願件数階級別（平成28年度［2016年度］まで） 業種別出願件数階級別の産業財産権制度の実施状況について 産業財産権の売買","11","情報通信・科学技術","03","知的財産","知的財産活動調査","【更新終了】業種別出願件数階級別（平成28年度［2016年度］まで）","業種別出願件数階級別の産業財産権制度の実施状況について","","産業財産権の売買"
"0003270003","知的財産活動調査","年度次","0","2022-01-11","0","該当なし","304","2022-01-12","","00552010","知的財産活動調査","00552","特許庁","1-12","【更新終了】業種別出願件数階級別（平成19年度［2007年度］まで） 業種別出願件数階級別の産業財産権制度の実施状況について 産業財産権の売買－標本数","11","情報通信・科学技術","03","知的財産","知的財産活動調査","【更新終了】業種別出願件数階級別（平成19年度［2007年度］まで）","業種別出願件数階級別の産業財産権制度の実施状況について","","産業財産権の売買－標本数"
"0003270004","知的財産活動調査","年度次","0","2022-01-11","0","該当なし","4864","2022-01-12","","00552010","知的財産活動調査","00552","特許庁","1-12","【更新終了】業種別出願件数階級別（平成19年度［2007年度］まで） 業種別出願件数階級別の産業財産権制度の実施状況について 産業財産権の売買","11","情報通信・科学技術","03","知的財産","知的財産活動調査","【更新終了】業種別出願件数階級別（平成19年度［2007年度］まで）","業種別出願件数階級別の産業財産権制度の実施状況について","","産業財産権の売買"
"0003258789","知的財産活動調査","年度次","0","2022-01-11","0","該当なし","1384","2022-01-12","","00552010","知的財産活動調査","00552","特許庁","1-13","業種別出願件数階級別 業種別出願件数階級別の産業財産権制度の実施状況について 国内有償実施許諾契約－標本数","11","情報通信・科学技術","03","知的財産","知的財産活動調査","業種別出願件数階級別","業種別出願件数階級別の産業財産権制度の実施状況について","","国内有償実施許諾契約－標本数"
"0003258790","知的財産活動調査","年度次","0","2022-01-11","0","該当なし","24536","2022-01-12","","00552010","知的財産活動調査","00552","特許庁","1-13","業種別出願件数階級別 業種別出願件数階級別の産業財産権制度の実施状況について 国内有償実施許諾契約","11","情報通信・科学技術","03","知的財産","知的財産活動調査","業種別出願件数階級別","業種別出願件数階級別の産業財産権制度の実施状況について","","国内有償実施許諾契約"
"0003268941","知的財産活動調査","年度次","0","2022-01-11","0","該当なし","342","2022-01-12","","00552010","知的財産活動調査","00552","特許庁","1-13","【更新終了】業種別出願件数階級別（平成28年度［2016年度］まで） 業種別出願件数階級別の産業財産権侵害に関する訴訟について 産業財産権侵害に関する訴訟について－標本数","11","情報通信・科学技術","03","知的財産","知的財産活動調査","【更新終了】業種別出願件数階級別（平成28年度［2016年度］まで）","業種別出願件数階級別の産業財産権侵害に関する訴訟について","","産業財産権侵害に関する訴訟について－標本数"
"0003268942","知的財産活動調査","年度次","0","2022-01-11","0","該当なし","15732","2022-01-12","","00552010","知的財産活動調査","00552","特許庁","1-13","【更新終了】業種別出願件数階級別（平成28年度［2016年度］まで） 業種別出願件数階級別の産業財産権侵害に関する訴訟について 産業財産権侵害に関する訴訟について－訴えた件数","11","情報通信・科学技術","03","知的財産","知的財産活動調査","【更新終了】業種別出願件数階級別（平成28年度［2016年度］まで）","業種別出願件数階級別の産業財産権侵害に関する訴訟について","","産業財産権侵害に関する訴訟について－訴えた件数"
"0003268943","知的財産活動調査","年度次","0","2022-01-11","0","該当なし","15732","2022-01-12","","00552010","知的財産活動調査","00552","特許庁","1-13","【更新終了】業種別出願件数階級別（平成28年度［2016年度］まで） 業種別出願件数階級別の産業財産権侵害に関する訴訟について 産業財産権侵害に関する訴訟について－訴えられた件数","11","情報通信・科学技術","03","知的財産","知的財産活動調査","【更新終了】業種別出願件数階級別（平成28年度［2016年度］まで）","業種別出願件数階級別の産業財産権侵害に関する訴訟について","","産業財産権侵害に関する訴訟について－訴えられた件数"
"0003269000","知的財産活動調査","年度次","0","2022-01-11","0","該当なし","114","2022-01-12","","00552010","知的財産活動調査","00552","特許庁","1-13","【更新終了】業種別出願件数階級別（平成19年度［2007年度］まで） 業種別出願件数階級別の産業財産権侵害に関する訴訟について 産業財産権侵害に関する訴訟について－標本数","11","情報通信・科学技術","03","知的財産","知的財産活動調査","【更新終了】業種別出願件数階級別（平成19年度［2007年度］まで）","業種別出願件数階級別の産業財産権侵害に関する訴訟について","","産業財産権侵害に関する訴訟について－標本数"
"0003269001","知的財産活動調査","年度次","0","2022-01-11","0","該当なし","5244","2022-01-12","","00552010","知的財産活動調査","00552","特許庁","1-13","【更新終了】業種別出願件数階級別（平成19年度［2007年度］まで） 業種別出願件数階級別の産業財産権侵害に関する訴訟について 産業財産権侵害に関する訴訟について－訴えた件数","11","情報通信・科学技術","03","知的財産","知的財産活動調査","【更新終了】業種別出願件数階級別（平成19年度［2007年度］まで）","業種別出願件数階級別の産業財産権侵害に関する訴訟について","","産業財産権侵害に関する訴訟について－訴えた件数"
"0003269002","知的財産活動調査","年度次","0","2022-01-11","0","該当なし","5244","2022-01-12","","00552010","知的財産活動調査","00552","特許庁","1-13","【更新終了】業種別出願件数階級別（平成19年度［2007年度］まで） 業種別出願件数階級別の産業財産権侵害に関する訴訟について 産業財産権侵害に関する訴訟について－訴えられた件数","11","情報通信・科学技術","03","知的財産","知的財産活動調査","【更新終了】業種別出願件数階級別（平成19年度［2007年度］まで）","業種別出願件数階級別の産業財産権侵害に関する訴訟について","","産業財産権侵害に関する訴訟について－訴えられた件数"
"0003258793","知的財産活動調査","年度次","0","2022-01-11","0","該当なし","1384","2022-01-12","","00552010","知的財産活動調査","00552","特許庁","1-14","業種別出願件数階級別 業種別出願件数階級別の産業財産権制度の実施状況について 外国有償実施許諾契約－標本数","11","情報通信・科学技術","03","知的財産","知的財産活動調査","業種別出願件数階級別","業種別出願件数階級別の産業財産権制度の実施状況について","","外国有償実施許諾契約－標本数"
"0003268160","知的財産活動調査","年度次","0","2022-01-11","0","該当なし","88480","2022-01-12","","00552010","知的財産活動調査","00552","特許庁","1-14","業種別出願件数階級別 業種別出願件数階級別の産業財産権制度の実施状況について 外国有償実施許諾契約","11","情報通信・科学技術","03","知的財産","知的財産活動調査","業種別出願件数階級別","業種別出願件数階級別の産業財産権制度の実施状況について","","外国有償実施許諾契約"
"0003254648","知的財産活動調査","年度次","0","2022-01-11","0","該当なし","4146","2022-01-12","","00552010","知的財産活動調査","00552","特許庁","1-2","業種別出願件数階級別 業種別出願件数階級別の知的財産部門の活動状況について 知的財産担当者数","11","情報通信・科学技術","03","知的財産","知的財産活動調査","業種別出願件数階級別","業種別出願件数階級別の知的財産部門の活動状況について","","知的財産担当者数"
"0003254650","知的財産活動調査","年度次","0","2022-01-11","0","該当なし","1382","2022-01-12","","00552010","知的財産活動調査","00552","特許庁","1-2","業種別出願件数階級別 業種別出願件数階級別の知的財産部門の活動状況について 知的財産担当者数－標本数","11","情報通信・科学技術","03","知的財産","知的財産活動調査","業種別出願件数階級別","業種別出願件数階級別の知的財産部門の活動状況について","","知的財産担当者数－標本数"
"0003258425","知的財産活動調査","年度次","0","2022-01-11","0","該当なし","304","2022-01-12","","00552010","知的財産活動調査","00552","特許庁","1-2","【更新終了】業種別出願件数階級別（平成19年度［2007年度］まで） 業種別出願件数階級別の知的財産部門の活動状況について 知的財産担当者数－標本数","11","情報通信・科学技術","03","知的財産","知的財産活動調査","【更新終了】業種別出願件数階級別（平成19年度［2007年度］まで）","業種別出願件数階級別の知的財産部門の活動状況について","","知的財産担当者数－標本数"
"0003258426","知的財産活動調査","年度次","0","2022-01-11","0","該当なし","608","2022-01-12","","00552010","知的財産活動調査","00552","特許庁","1-2","【更新終了】業種別出願件数階級別（平成19年度［2007年度］まで） 業種別出願件数階級別の知的財産部門の活動状況について 知的財産担当者数","11","情報通信・科学技術","03","知的財産","知的財産活動調査","【更新終了】業種別出願件数階級別（平成19年度［2007年度］まで）","業種別出願件数階級別の知的財産部門の活動状況について","","知的財産担当者数"
"0003269761","知的財産活動調査","年度次","0","2022-01-11","0","該当なし","608","2022-01-12","","00552010","知的財産活動調査","00552","特許庁","1-3","【更新終了】業種別出願件数階級別（平成19年度［2007年度］まで） 業種別出願件数階級別の知的財産部門の活動状況について 知的財産活動費－標本数","11","情報通信・科学技術","03","知的財産","知的財産活動調査","【更新終了】業種別出願件数階級別（平成19年度［2007年度］まで）","業種別出願件数階級別の知的財産部門の活動状況について","","知的財産活動費－標本数"
"0003269762","知的財産活動調査","年度次","0","2022-01-11","0","該当なし","1520","2022-01-12","","00552010","知的財産活動調査","00552","特許庁","1-3","【更新終了】業種別出願件数階級別（平成19年度［2007年度］まで） 業種別出願件数階級別の知的財産部門の活動状況について 知的財産活動費","11","情報通信・科学技術","03","知的財産","知的財産活動調査","【更新終了】業種別出願件数階級別（平成19年度［2007年度］まで）","業種別出願件数階級別の知的財産部門の活動状況について","","知的財産活動費"
"0003269763","知的財産活動調査","年度次","0","2022-01-11","0","該当なし","4256","2022-01-12","","00552010","知的財産活動調査","00552","特許庁","1-3","【更新終了】業種別出願件数階級別（平成19年度［2007年度］まで） 業種別出願件数階級別の知的財産部門の活動状況について 知的財産活動費－出願系費用","11","情報通信・科学技術","03","知的財産","知的財産活動調査","【更新終了】業種別出願件数階級別（平成19年度［2007年度］まで）","業種別出願件数階級別の知的財産部門の活動状況について","","知的財産活動費－出願系費用"
"0003424894","知的財産活動調査","年度次","0","2022-01-11","0","該当なし","318","2022-01-12","","00552010","知的財産活動調査","00552","特許庁","1-3","業種別出願件数階級別 業種別出願件数階級別の知的財産部門の活動状況について 知的財産総括責任者の役職等－標本数","11","情報通信・科学技術","03","知的財産","知的財産活動調査","業種別出願件数階級別","業種別出願件数階級別の知的財産部門の活動状況について","","知的財産総括責任者の役職等－標本数"
"0003424933","知的財産活動調査","年度次","0","2022-01-11","0","該当なし","2544","2022-01-12","","00552010","知的財産活動調査","00552","特許庁","1-3","業種別出願件数階級別 業種別出願件数階級別の知的財産部門の活動状況について 知的財産総括責任者の役職等","11","情報通信・科学技術","03","知的財産","知的財産活動調査","業種別出願件数階級別","業種別出願件数階級別の知的財産部門の活動状況について","","知的財産総括責任者の役職等"
