"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY2"
"0003169835","建設関連業の動態調査 測量業","測量業時系列 前年同期の共通回答会社による比","月次","0","2017-03-31","0","該当なし","70","2022-06-03","","00600140","建設関連業等の動態統計調査","00600","国土交通省","08","住宅・土地・建設","02","建設","建設関連業の動態調査","測量業","測量業時系列","前年同期の共通回答会社による比",""
"0003169836","建設関連業の動態調査 測量業","測量業時系列 前年同月の共通回答会社による比","月次","0","2022-06-03","0","該当なし","1590","2022-06-03","","00600140","建設関連業等の動態統計調査","00600","国土交通省","08","住宅・土地・建設","02","建設","建設関連業の動態調査","測量業","測量業時系列","前年同月の共通回答会社による比",""
"0003169860","建設関連業の動態調査 測量業","測量業時系列 年度次","月次","0","2022-06-03","0","該当なし","180","2022-06-03","","00600140","建設関連業等の動態統計調査","00600","国土交通省","08","住宅・土地・建設","02","建設","建設関連業の動態調査","測量業","測量業時系列","年度次",""
"0003169861","建設関連業の動態調査 測量業","測量業時系列 月次","月次","0","2022-06-03","0","該当なし","1700","2022-06-03","","00600140","建設関連業等の動態統計調査","00600","国土交通省","08","住宅・土地・建設","02","建設","建設関連業の動態調査","測量業","測量業時系列","月次",""
"0003169877","建設関連業の動態調査 測量業","測量業時系列 前年度比","月次","0","2017-03-31","0","該当なし","50","2022-06-03","","00600140","建設関連業等の動態統計調査","00600","国土交通省","08","住宅・土地・建設","02","建設","建設関連業の動態調査","測量業","測量業時系列","前年度比",""
"0003169878","建設関連業の動態調査 測量業","測量業時系列 前年同月比","月次","0","2017-03-31","0","該当なし","170","2022-06-03","","00600140","建設関連業等の動態統計調査","00600","国土交通省","08","住宅・土地・建設","02","建設","建設関連業の動態調査","測量業","測量業時系列","前年同月比",""
"0003169895","建設関連業の動態調査 建設コンサルタント","建設コンサルタント時系列 前年同期の共通回答会社による比","月次","0","2017-03-31","0","該当なし","70","2022-06-03","","00600140","建設関連業等の動態統計調査","00600","国土交通省","08","住宅・土地・建設","02","建設","建設関連業の動態調査","建設コンサルタント","建設コンサルタント時系列","前年同期の共通回答会社による比",""
"0003169900","建設関連業の動態調査 建設コンサルタント","建設コンサルタント時系列 年度次","月次","0","2022-06-03","0","該当なし","180","2022-06-03","","00600140","建設関連業等の動態統計調査","00600","国土交通省","08","住宅・土地・建設","02","建設","建設関連業の動態調査","建設コンサルタント","建設コンサルタント時系列","年度次",""
"0003169920","建設関連業の動態調査 建設コンサルタント","建設コンサルタント時系列 月次","月次","0","2022-06-03","0","該当なし","1750","2022-06-03","","00600140","建設関連業等の動態統計調査","00600","国土交通省","08","住宅・土地・建設","02","建設","建設関連業の動態調査","建設コンサルタント","建設コンサルタント時系列","月次",""
"0003169921","建設関連業の動態調査 建設コンサルタント","建設コンサルタント時系列 前年度比","月次","0","2017-03-31","0","該当なし","50","2022-06-03","","00600140","建設関連業等の動態統計調査","00600","国土交通省","08","住宅・土地・建設","02","建設","建設関連業の動態調査","建設コンサルタント","建設コンサルタント時系列","前年度比",""
"0003170006","建設関連業の動態調査 建設コンサルタント","建設コンサルタント時系列 前年同月の共通回答会社による比","月次","0","2022-06-03","0","該当なし","1590","2022-06-03","","00600140","建設関連業等の動態統計調査","00600","国土交通省","08","住宅・土地・建設","02","建設","建設関連業の動態調査","建設コンサルタント","建設コンサルタント時系列","前年同月の共通回答会社による比",""
"0003170021","建設関連業の動態調査 建設コンサルタント","建設コンサルタント時系列 前年同月比","月次","0","2017-03-31","0","該当なし","170","2022-06-03","","00600140","建設関連業等の動態統計調査","00600","国土交通省","08","住宅・土地・建設","02","建設","建設関連業の動態調査","建設コンサルタント","建設コンサルタント時系列","前年同月比",""
"0003169978","建設関連業の動態調査 地質調査業","地質調査業時系列 前年度比","月次","0","2017-03-31","0","該当なし","50","2022-06-03","","00600140","建設関連業等の動態統計調査","00600","国土交通省","08","住宅・土地・建設","02","建設","建設関連業の動態調査","地質調査業","地質調査業時系列","前年度比",""
"0003169979","建設関連業の動態調査 地質調査業","地質調査業時系列 前年同月の共通回答会社による比","月次","0","2022-06-03","0","該当なし","1590","2022-06-03","","00600140","建設関連業等の動態統計調査","00600","国土交通省","08","住宅・土地・建設","02","建設","建設関連業の動態調査","地質調査業","地質調査業時系列","前年同月の共通回答会社による比",""
"0003169998","建設関連業の動態調査 地質調査業","地質調査業時系列 月次","月次","0","2022-06-03","0","該当なし","1750","2022-06-03","","00600140","建設関連業等の動態統計調査","00600","国土交通省","08","住宅・土地・建設","02","建設","建設関連業の動態調査","地質調査業","地質調査業時系列","月次",""
"0003170007","建設関連業の動態調査 地質調査業","地質調査業時系列 年度次","月次","0","2022-06-03","0","該当なし","180","2022-06-03","","00600140","建設関連業等の動態統計調査","00600","国土交通省","08","住宅・土地・建設","02","建設","建設関連業の動態調査","地質調査業","地質調査業時系列","年度次",""
"0003170008","建設関連業の動態調査 地質調査業","地質調査業時系列 前年同期の共通回答会社による比","月次","0","2017-03-31","0","該当なし","70","2022-06-03","","00600140","建設関連業等の動態統計調査","00600","国土交通省","08","住宅・土地・建設","02","建設","建設関連業の動態調査","地質調査業","地質調査業時系列","前年同期の共通回答会社による比",""
