"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY2","TITLE_SPEC.TABLE_SUB_CATEGORY3"
"0003130681","港湾統計（年報）","年次","0","2016-03-31","0","該当なし","558","2025-02-21","","00600280","港湾調査","00600","国土交通省","1-1","第１部　入港船舶・船舶乗降人員及び海上出入貨物総括表 第１表　入港船舶表 港格 2005年～2011年","10","運輸・観光","01","運輸","港湾統計（年報）","第１部　入港船舶・船舶乗降人員及び海上出入貨物総括表","第１表　入港船舶表","港格","2005年～2011年",""
"0003130682","港湾統計（年報）","年次","0","2024-12-24","0","該当なし","1062","2025-02-21","","00600280","港湾調査","00600","国土交通省","1-1","第１部　入港船舶・船舶乗降人員及び海上出入貨物総括表 第１表　入港船舶表 港格 2012年～","10","運輸・観光","01","運輸","港湾統計（年報）","第１部　入港船舶・船舶乗降人員及び海上出入貨物総括表","第１表　入港船舶表","港格","2012年～",""
"0003130773","港湾統計（年報）","年次","0","2024-12-24","0","該当なし","12922","2025-02-21","","00600280","港湾調査","00600","国土交通省","1-1","第１部　入港船舶・船舶乗降人員及び海上出入貨物総括表 第１表　入港船舶表 都道府県","10","運輸・観光","01","運輸","港湾統計（年報）","第１部　入港船舶・船舶乗降人員及び海上出入貨物総括表","第１表　入港船舶表","都道府県","",""
"0003130683","港湾統計（年報）","年次","0","2016-03-31","0","該当なし","234","2025-02-21","","00600280","港湾調査","00600","国土交通省","1-2","第１部　入港船舶・船舶乗降人員及び海上出入貨物総括表 第２表　船舶乗降人員表 港格 2005年～2011年","10","運輸・観光","01","運輸","港湾統計（年報）","第１部　入港船舶・船舶乗降人員及び海上出入貨物総括表","第２表　船舶乗降人員表","港格","2005年～2011年",""
"0003130684","港湾統計（年報）","年次","0","2024-12-24","0","該当なし","495","2025-02-21","","00600280","港湾調査","00600","国土交通省","1-2","第１部　入港船舶・船舶乗降人員及び海上出入貨物総括表 第２表　船舶乗降人員表 港格 2012年～","10","運輸・観光","01","運輸","港湾統計（年報）","第１部　入港船舶・船舶乗降人員及び海上出入貨物総括表","第２表　船舶乗降人員表","港格","2012年～",""
"0003130737","港湾統計（年報）","年次","0","2024-12-24","0","該当なし","4234","2025-02-21","","00600280","港湾調査","00600","国土交通省","1-2","第１部　入港船舶・船舶乗降人員及び海上出入貨物総括表 第２表　船舶乗降人員表 都道府県","10","運輸・観光","01","運輸","港湾統計（年報）","第１部　入港船舶・船舶乗降人員及び海上出入貨物総括表","第２表　船舶乗降人員表","都道府県","",""
"0003130685","港湾統計（年報）","年次","0","2016-03-31","0","該当なし","443","2025-02-21","","00600280","港湾調査","00600","国土交通省","1-3-1","第１部　入港船舶・船舶乗降人員及び海上出入貨物総括表 第３表　海上出入貨物表　（１）トン数総数表 港格 2005年～2011年","10","運輸・観光","01","運輸","港湾統計（年報）","第１部　入港船舶・船舶乗降人員及び海上出入貨物総括表","第３表　海上出入貨物表　（１）トン数総数表","港格","2005年～2011年",""
"0003130738","港湾統計（年報）","年次","0","2024-12-24","0","該当なし","9167","2025-02-21","","00600280","港湾調査","00600","国土交通省","1-3-1","第１部　入港船舶・船舶乗降人員及び海上出入貨物総括表 第３表　海上出入貨物表　（１）トン数総数表 都道府県","10","運輸・観光","01","運輸","港湾統計（年報）","第１部　入港船舶・船舶乗降人員及び海上出入貨物総括表","第３表　海上出入貨物表　（１）トン数総数表","都道府県","",""
"0003130774","港湾統計（年報）","年次","0","2024-12-24","0","該当なし","1045","2025-02-21","","00600280","港湾調査","00600","国土交通省","1-3-1","第１部　入港船舶・船舶乗降人員及び海上出入貨物総括表 第３表　海上出入貨物表　（１）トン数総数表 港格 2012年～","10","運輸・観光","01","運輸","港湾統計（年報）","第１部　入港船舶・船舶乗降人員及び海上出入貨物総括表","第３表　海上出入貨物表　（１）トン数総数表","港格","2012年～",""
"0003130739","港湾統計（年報）","年次","0","2024-12-24","0","該当なし","234699","2025-02-21","","00600280","港湾調査","00600","国土交通省","1-3-2","第１部　入港船舶・船舶乗降人員及び海上出入貨物総括表 第３表　海上出入貨物表　（２）品種別都道府県別表（輸移出入）","10","運輸・観光","01","運輸","港湾統計（年報）","第１部　入港船舶・船舶乗降人員及び海上出入貨物総括表","第３表　海上出入貨物表　（２）品種別都道府県別表（輸移出入）","","",""
