"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY2","TITLE","TITLE_SPEC.TABLE_SUB_CATEGORY3"
"0003126423","造船造機統計調査 造船調査","月次","0","2016-03-31","0","該当なし","8736","2020-12-09","","00600300","造船造機統計調査","00600","国土交通省","1","造船調査 鋼船建造実績 隻数、トン数 2007年1月～2013年12月","05","鉱工業","02","製造業","造船造機統計調査","造船調査","造船調査","鋼船建造実績","隻数、トン数","2007年1月～2013年12月","",""
"0003126426","造船造機統計調査 造船調査","月次","0","2023-12-25","0","該当なし","3420","2024-08-01","","00600300","造船造機統計調査","00600","国土交通省","1","造船調査 鋼船建造実績 隻数、排水トン数 2014年1月～","05","鉱工業","02","製造業","造船造機統計調査","造船調査","造船調査","鋼船建造実績","隻数、排水トン数","2014年1月～","",""
"0003126468","造船造機統計調査 造船調査","月次","0","2016-03-31","0","該当なし","2016","2020-12-09","","00600300","造船造機統計調査","00600","国土交通省","1","造船調査 鋼船建造実績 隻数、排水トン数 2007年1月～2013年12月","05","鉱工業","02","製造業","造船造機統計調査","造船調査","造船調査","鋼船建造実績","隻数、排水トン数","2007年1月～2013年12月","",""
"0003126484","造船造機統計調査 造船調査","月次","0","2023-12-25","0","該当なし","53552","2024-08-01","","00600300","造船造機統計調査","00600","国土交通省","1","造船調査 鋼船建造実績 隻数、トン数 2014年1月～","05","鉱工業","02","製造業","造船造機統計調査","造船調査","造船調査","鋼船建造実績","隻数、トン数","2014年1月～","",""
"0003126428","造船造機統計調査 造船調査","月次","0","2023-12-25","0","該当なし","12312","2024-08-01","","00600300","造船造機統計調査","00600","国土交通省","10","造船調査 地方運輸局管轄区域別建造実績及び船舶修繕実績 地方運輸局管轄区域別船舶修繕実績 2014年1月～","05","鉱工業","02","製造業","造船造機統計調査","造船調査","造船調査","地方運輸局管轄区域別建造実績及び船舶修繕実績","地方運輸局管轄区域別船舶修繕実績","2014年1月～","",""
"0003126470","造船造機統計調査 造船調査","月次","0","2016-03-31","0","該当なし","21168","2020-12-11","","00600300","造船造機統計調査","00600","国土交通省","10","造船調査 地方運輸局管轄区域別建造実績及び船舶修繕実績 地方運輸局管轄区域別建造実績 2007年1月～2013年12月","05","鉱工業","02","製造業","造船造機統計調査","造船調査","造船調査","地方運輸局管轄区域別建造実績及び船舶修繕実績","地方運輸局管轄区域別建造実績","2007年1月～2013年12月","",""
"0003126486","造船造機統計調査 造船調査","月次","0","2023-12-25","0","該当なし","36936","2024-08-01","","00600300","造船造機統計調査","00600","国土交通省","10","造船調査 地方運輸局管轄区域別建造実績及び船舶修繕実績 地方運輸局管轄区域別建造実績 2014年1月～","05","鉱工業","02","製造業","造船造機統計調査","造船調査","造船調査","地方運輸局管轄区域別建造実績及び船舶修繕実績","地方運輸局管轄区域別建造実績","2014年1月～","",""
"0003126503","造船造機統計調査 造船調査","月次","0","2016-03-31","0","該当なし","9072","2020-12-11","","00600300","造船造機統計調査","00600","国土交通省","10","造船調査 地方運輸局管轄区域別建造実績及び船舶修繕実績 地方運輸局管轄区域別船舶修繕実績 2007年1月～2013年12月","05","鉱工業","02","製造業","造船造機統計調査","造船調査","造船調査","地方運輸局管轄区域別建造実績及び船舶修繕実績","地方運輸局管轄区域別船舶修繕実績","2007年1月～2013年12月","",""
"0003126471","造船造機統計調査 造船調査","月次","0","2023-12-25","0","該当なし","3192","2024-08-01","","00600300","造船造機統計調査","00600","国土交通省","2","造船調査 強化プラスチック（木）船しゅん工実績 2014年1月～","05","鉱工業","02","製造業","造船造機統計調査","造船調査","造船調査","強化プラスチック（木）船しゅん工実績","2014年1月～","","",""
"0003126501","造船造機統計調査 造船調査","月次","0","2016-03-31","0","該当なし","2352","2020-12-09","","00600300","造船造機統計調査","00600","国土交通省","2","造船調査 強化プラスチック（木）船しゅん工実績 2007年1月～2013年12月","05","鉱工業","02","製造業","造船造機統計調査","造船調査","造船調査","強化プラスチック（木）船しゅん工実績","2007年1月～2013年12月","","",""
