"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY2","TITLE"
"0003422033","船員労働統計調査 一般船舶調査、特殊船調査","年次","0","2025-06-26","0","該当なし","3299","2025-11-10","","00600320","船員労働統計調査","00600","国土交通省","1","調査結果の概要 一般船舶に乗り組む船員の用途・内外航別、トン数階層別現金給与額　（１人１か月平均）","03","労働・賃金","02","賃金・労働条件","船員労働統計調査","一般船舶調査、特殊船調査","調査結果の概要","一般船舶に乗り組む船員の用途・内外航別、トン数階層別現金給与額　（１人１か月平均）","","",""
"0003129541","船員労働統計調査 一般船舶調査、特殊船調査","年次","0","2023-12-19","0","該当なし","30","2025-11-10","","00600320","船員労働統計調査","00600","国土交通省","2","調査結果の概要 一般船舶に乗り組む船員の現金給与額等の動き 平均稼働日数","03","労働・賃金","02","賃金・労働条件","船員労働統計調査","一般船舶調査、特殊船調査","調査結果の概要","一般船舶に乗り組む船員の現金給与額等の動き","平均稼働日数","",""
"0003129562","船員労働統計調査 一般船舶調査、特殊船調査","年次","0","2023-12-19","0","該当なし","444","2025-11-10","","00600320","船員労働統計調査","00600","国土交通省","2","調査結果の概要 一般船舶に乗り組む船員の現金給与額等の動き 上昇率(平均給与額)","03","労働・賃金","02","賃金・労働条件","船員労働統計調査","一般船舶調査、特殊船調査","調査結果の概要","一般船舶に乗り組む船員の現金給与額等の動き","上昇率(平均給与額)","",""
"0003129579","船員労働統計調査 一般船舶調査、特殊船調査","年次","0","2023-12-19","0","該当なし","459","2025-11-10","","00600320","船員労働統計調査","00600","国土交通省","2","調査結果の概要 一般船舶に乗り組む船員の現金給与額等の動き 平均給与額","03","労働・賃金","02","賃金・労働条件","船員労働統計調査","一般船舶調査、特殊船調査","調査結果の概要","一般船舶に乗り組む船員の現金給与額等の動き","平均給与額","",""
"0003129593","船員労働統計調査 一般船舶調査、特殊船調査","年次","0","2023-12-19","0","該当なし","29","2025-11-10","","00600320","船員労働統計調査","00600","国土交通省","2","調査結果の概要 一般船舶に乗り組む船員の現金給与額等の動き 上昇率(平均稼働日数)","03","労働・賃金","02","賃金・労働条件","船員労働統計調査","一般船舶調査、特殊船調査","調査結果の概要","一般船舶に乗り組む船員の現金給与額等の動き","上昇率(平均稼働日数)","",""
"0003129542","船員労働統計調査 一般船舶調査、特殊船調査","年次","0","2016-03-31","0","該当なし","12","2025-11-10","","00600320","船員労働統計調査","00600","国土交通省","3","調査結果の概要 一般船舶に乗り組む船員の月間総労働時間、年間取得休日数の動き 平均労働時間 1990年","03","労働・賃金","02","賃金・労働条件","船員労働統計調査","一般船舶調査、特殊船調査","調査結果の概要","一般船舶に乗り組む船員の月間総労働時間、年間取得休日数の動き","平均労働時間","1990年",""
"0003129543","船員労働統計調査 一般船舶調査、特殊船調査","年次","0","2016-03-31","0","該当なし","150","2025-11-10","","00600320","船員労働統計調査","00600","国土交通省","3","調査結果の概要 一般船舶に乗り組む船員の月間総労働時間、年間取得休日数の動き 上昇率(平均労働時間) 1995年、1998年～2006年","03","労働・賃金","02","賃金・労働条件","船員労働統計調査","一般船舶調査、特殊船調査","調査結果の概要","一般船舶に乗り組む船員の月間総労働時間、年間取得休日数の動き","上昇率(平均労働時間)","1995年、1998年～2006年",""
"0003129563","船員労働統計調査 一般船舶調査、特殊船調査","年次","0","2016-03-31","0","該当なし","150","2025-11-10","","00600320","船員労働統計調査","00600","国土交通省","3","調査結果の概要 一般船舶に乗り組む船員の月間総労働時間、年間取得休日数の動き 平均労働時間 1995年、1998年～2006年","03","労働・賃金","02","賃金・労働条件","船員労働統計調査","一般船舶調査、特殊船調査","調査結果の概要","一般船舶に乗り組む船員の月間総労働時間、年間取得休日数の動き","平均労働時間","1995年、1998年～2006年",""
"0003129564","船員労働統計調査 一般船舶調査、特殊船調査","年次","0","2023-12-19","0","該当なし","153","2025-11-10","","00600320","船員労働統計調査","00600","国土交通省","3","調査結果の概要 一般船舶に乗り組む船員の月間総労働時間、年間取得休日数の動き 上昇率(平均労働時間) 2007年～","03","労働・賃金","02","賃金・労働条件","船員労働統計調査","一般船舶調査、特殊船調査","調査結果の概要","一般船舶に乗り組む船員の月間総労働時間、年間取得休日数の動き","上昇率(平均労働時間)","2007年～",""
"0003129580","船員労働統計調査 一般船舶調査、特殊船調査","年次","0","2016-03-31","0","該当なし","30","2025-11-10","","00600320","船員労働統計調査","00600","国土交通省","3","調査結果の概要 一般船舶に乗り組む船員の月間総労働時間、年間取得休日数の動き 平均労働時間 1980年、1985年","03","労働・賃金","02","賃金・労働条件","船員労働統計調査","一般船舶調査、特殊船調査","調査結果の概要","一般船舶に乗り組む船員の月間総労働時間、年間取得休日数の動き","平均労働時間","1980年、1985年",""
"0003129581","船員労働統計調査 一般船舶調査、特殊船調査","年次","0","2016-03-31","0","該当なし","24","2025-11-10","","00600320","船員労働統計調査","00600","国土交通省","3","調査結果の概要 一般船舶に乗り組む船員の月間総労働時間、年間取得休日数の動き 上昇率(平均労働時間) 1985年、1990年","03","労働・賃金","02","賃金・労働条件","船員労働統計調査","一般船舶調査、特殊船調査","調査結果の概要","一般船舶に乗り組む船員の月間総労働時間、年間取得休日数の動き","上昇率(平均労働時間)","1985年、1990年",""
"0003129594","船員労働統計調査 一般船舶調査、特殊船調査","年次","0","2023-12-19","0","該当なし","153","2025-11-10","","00600320","船員労働統計調査","00600","国土交通省","3","調査結果の概要 一般船舶に乗り組む船員の月間総労働時間、年間取得休日数の動き 平均労働時間 2007年～","03","労働・賃金","02","賃金・労働条件","船員労働統計調査","一般船舶調査、特殊船調査","調査結果の概要","一般船舶に乗り組む船員の月間総労働時間、年間取得休日数の動き","平均労働時間","2007年～",""
"0003129566","船員労働統計調査 一般船舶調査、特殊船調査","年次","0","2016-03-31","0","該当なし","29484","2025-11-10","","00600320","船員労働統計調査","00600","国土交通省","30","統計表 一般船舶に乗り組む船員の年齢階層別１人１か月平均報酬等 ６月の月間総労働時間及び報酬等について","03","労働・賃金","02","賃金・労働条件","船員労働統計調査","一般船舶調査、特殊船調査","統計表","一般船舶に乗り組む船員の年齢階層別１人１か月平均報酬等","６月の月間総労働時間及び報酬等について","",""
"0003129597","船員労働統計調査 一般船舶調査、特殊船調査","年次","0","2016-03-31","0","該当なし","12636","2025-11-10","","00600320","船員労働統計調査","00600","国土交通省","30","統計表 一般船舶に乗り組む船員の年齢階層別１人１か月平均報酬等 昨年一年間（１月～１２月）の総労働時間等について","03","労働・賃金","02","賃金・労働条件","船員労働統計調査","一般船舶調査、特殊船調査","統計表","一般船舶に乗り組む船員の年齢階層別１人１か月平均報酬等","昨年一年間（１月～１２月）の総労働時間等について","",""
