"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE"
"0003091286","自動車輸送統計月報","月次","0","2020-12-21","0","該当なし","4560","2023-10-11","","00600330","自動車輸送統計調査","00600","国土交通省","3-1","貨物輸送 貨物輸送量（トン数・トンキロ・能力トンキロ・実車キロ）","10","運輸・観光","01","運輸","自動車輸送統計月報","貨物輸送","貨物輸送量（トン数・トンキロ・能力トンキロ・実車キロ）",""
"0003422293","自動車輸送統計月報","月次","0","2024-12-04","0","全国","0","2024-12-04","","00600330","自動車輸送統計調査","00600","国土交通省","3-1","貨物輸送 貨物輸送量（トン数・トンキロ・能力トンキロ・実車キロ）2020年4月～","10","運輸・観光","01","運輸","自動車輸送統計月報","貨物輸送","貨物輸送量（トン数・トンキロ・能力トンキロ・実車キロ）2020年4月～",""
"0003090587","自動車輸送統計月報","月次","0","2020-12-21","0","該当なし","7980","2023-10-11","","00600330","自動車輸送統計調査","00600","国土交通省","3-2","貨物輸送 地方運輸局別・業態別・車種別輸送トン数","10","運輸・観光","01","運輸","自動車輸送統計月報","貨物輸送","地方運輸局別・業態別・車種別輸送トン数",""
"0003422413","自動車輸送統計月報","月次","0","2024-12-04","0","該当なし","0","2024-12-04","","00600330","自動車輸送統計調査","00600","国土交通省","3-2","貨物輸送 地方運輸局別・業態別・車種別輸送トン数 2020年4月～","10","運輸・観光","01","運輸","自動車輸送統計月報","貨物輸送","地方運輸局別・業態別・車種別輸送トン数 2020年4月～",""
"0003090639","自動車輸送統計月報","月次","0","2020-12-21","0","該当なし","7980","2023-10-11","","00600330","自動車輸送統計調査","00600","国土交通省","3-3","貨物輸送 地方運輸局別・業態別・車種別輸送トンキロ","10","運輸・観光","01","運輸","自動車輸送統計月報","貨物輸送","地方運輸局別・業態別・車種別輸送トンキロ",""
"0003422833","自動車輸送統計月報","月次","0","2024-12-04","0","該当なし","0","2024-12-04","","00600330","自動車輸送統計調査","00600","国土交通省","3-3","貨物輸送 地方運輸局別・業態別・車種別輸送トンキロ 2020年4月～","10","運輸・観光","01","運輸","自動車輸送統計月報","貨物輸送","地方運輸局別・業態別・車種別輸送トンキロ 2020年4月～",""
"0003090620","自動車輸送統計月報","月次","0","2020-12-21","0","該当なし","7980","2023-10-11","","00600330","自動車輸送統計調査","00600","国土交通省","3-4","貨物輸送 地方運輸局別・業態別・車種別能力トンキロ","10","運輸・観光","01","運輸","自動車輸送統計月報","貨物輸送","地方運輸局別・業態別・車種別能力トンキロ",""
"0003422873","自動車輸送統計月報","月次","0","2024-12-04","0","該当なし","0","2024-12-04","","00600330","自動車輸送統計調査","00600","国土交通省","3-4","貨物輸送 地方運輸局別・業態別・車種別能力トンキロ 2020年4月～","10","運輸・観光","01","運輸","自動車輸送統計月報","貨物輸送","地方運輸局別・業態別・車種別能力トンキロ 2020年4月～",""
"0003090621","自動車輸送統計月報","月次","0","2020-12-21","0","該当なし","4788","2023-10-11","","00600330","自動車輸送統計調査","00600","国土交通省","3-5","貨物輸送 ６大都府県別・業態別・車種別輸送トン数","10","運輸・観光","01","運輸","自動車輸送統計月報","貨物輸送","６大都府県別・業態別・車種別輸送トン数",""
"0003426795","自動車輸送統計月報","四半期","0","2024-10-04","0","全国","10965","2024-10-04","","00600330","自動車輸送統計調査","00600","国土交通省","3-5","貨物輸送 業態別・車種別・品目別輸送トン数（四半期ごと） 2020年4月～","10","運輸・観光","01","運輸","自動車輸送統計月報","貨物輸送","業態別・車種別・品目別輸送トン数（四半期ごと） 2020年4月～",""
"0003090659","自動車輸送統計月報","月次","0","2020-12-21","0","該当なし","4788","2023-10-11","","00600330","自動車輸送統計調査","00600","国土交通省","3-6","貨物輸送 ６大都府県別・業態別・車種別輸送トンキロ","10","運輸・観光","01","運輸","自動車輸送統計月報","貨物輸送","６大都府県別・業態別・車種別輸送トンキロ",""
"0003426799","自動車輸送統計月報","四半期","0","2024-10-04","0","全国","10965","2024-10-04","","00600330","自動車輸送統計調査","00600","国土交通省","3-6","貨物輸送 業態別・車種別・品目別輸送トンキロ（四半期ごと）2020年4月～","10","運輸・観光","01","運輸","自動車輸送統計月報","貨物輸送","業態別・車種別・品目別輸送トンキロ（四半期ごと）2020年4月～",""
"0003090640","自動車輸送統計月報","月次","0","2016-02-25","0","該当なし","20520","2023-10-11","","00600330","自動車輸送統計調査","00600","国土交通省","3-7","貨物輸送 業態別・車種別・品目別輸送トン数","10","運輸・観光","01","運輸","自動車輸送統計月報","貨物輸送","業態別・車種別・品目別輸送トン数",""
"0003130148","自動車輸送統計月報","月次","0","2020-12-22","0","該当なし","25800","2023-10-11","","00600330","自動車輸送統計調査","00600","国土交通省","3-7","貨物輸送 業態別・車種別・品目別輸送トン数（2015年4月~）","10","運輸・観光","01","運輸","自動車輸送統計月報","貨物輸送","業態別・車種別・品目別輸送トン数（2015年4月~）",""
"0003426800","自動車輸送統計月報","四半期","0","2024-10-04","0","全国","7310","2024-10-04","","00600330","自動車輸送統計調査","00600","国土交通省","3-7","貨物輸送 地方運輸局別・品目別輸送トン数（四半期ごと）2020年4月～","10","運輸・観光","01","運輸","自動車輸送統計月報","貨物輸送","地方運輸局別・品目別輸送トン数（四半期ごと）2020年4月～",""
"0003090588","自動車輸送統計月報","月次","0","2016-03-15","0","該当なし","23180","2023-10-11","","00600330","自動車輸送統計調査","00600","国土交通省","3-8","貨物輸送 地方運輸局別・品目別輸送トン数","10","運輸・観光","01","運輸","自動車輸送統計月報","貨物輸送","地方運輸局別・品目別輸送トン数",""
"0003355795","自動車輸送統計月報","月次","0","2020-12-22","0","該当なし","25800","2023-10-11","","00600330","自動車輸送統計調査","00600","国土交通省","3-8","貨物輸送 地方運輸局別・品目別輸送トン数（2015年4月~）","10","運輸・観光","01","運輸","自動車輸送統計月報","貨物輸送","地方運輸局別・品目別輸送トン数（2015年4月~）",""
"0003426801","自動車輸送統計月報","四半期","0","2024-10-04","0","全国","7310","2024-10-04","","00600330","自動車輸送統計調査","00600","国土交通省","3-8","貨物輸送 地方運輸局別・品目別輸送トンキロ（四半期ごと）2020年4月～","10","運輸・観光","01","運輸","自動車輸送統計月報","貨物輸送","地方運輸局別・品目別輸送トンキロ（四半期ごと）2020年4月～",""
"0003090641","自動車輸送統計月報","月次","0","2020-12-22","0","該当なし","2280","2023-10-11","","00600330","自動車輸送統計調査","00600","国土交通省","4-1","旅客輸送 旅客輸送量（人員・人キロ・能力人キロ・実車キロ）","10","運輸・観光","01","運輸","自動車輸送統計月報","旅客輸送","旅客輸送量（人員・人キロ・能力人キロ・実車キロ）",""
"0003423113","自動車輸送統計月報","月次","0","2024-12-04","0","全国","0","2024-12-04","","00600330","自動車輸送統計調査","00600","国土交通省","4-1","旅客輸送 旅客輸送量（人員・人キロ・能力人キロ・実車キロ）2020年4月～","10","運輸・観光","01","運輸","自動車輸送統計月報","旅客輸送","旅客輸送量（人員・人キロ・能力人キロ・実車キロ）2020年4月～",""
"0003090589","自動車輸送統計月報","月次","0","2020-12-22","0","該当なし","6840","2023-10-11","","00600330","自動車輸送統計調査","00600","国土交通省","4-2","旅客輸送 地方運輸局別・車種別輸送人員","10","運輸・観光","01","運輸","自動車輸送統計月報","旅客輸送","地方運輸局別・車種別輸送人員",""
"0003422874","自動車輸送統計月報","月次","0","2024-12-04","0","全国","0","2024-12-04","","00600330","自動車輸送統計調査","00600","国土交通省","4-2","旅客輸送 地方運輸局別・車種別輸送人員 2020年4月～","10","運輸・観光","01","運輸","自動車輸送統計月報","旅客輸送","地方運輸局別・車種別輸送人員 2020年4月～",""
"0003090661","自動車輸送統計月報","月次","0","2020-12-22","0","該当なし","4560","2023-10-11","","00600330","自動車輸送統計調査","00600","国土交通省","4-3","旅客輸送 地方運輸局別・車種別輸送人キロ","10","運輸・観光","01","運輸","自動車輸送統計月報","旅客輸送","地方運輸局別・車種別輸送人キロ",""
"0003423134","自動車輸送統計月報","月次","0","2024-12-04","0","全国","0","2024-12-04","","00600330","自動車輸送統計調査","00600","国土交通省","4-3","旅客輸送 地方運輸局別・車種別輸送人キロ  2020年4月～","10","運輸・観光","01","運輸","自動車輸送統計月報","旅客輸送","地方運輸局別・車種別輸送人キロ  2020年4月～",""
"0003090590","自動車輸送統計月報","月次","0","2020-12-23","0","該当なし","4560","2023-10-11","","00600330","自動車輸送統計調査","00600","国土交通省","4-4","旅客輸送 地方運輸局別・車種別能力人キロ","10","運輸・観光","01","運輸","自動車輸送統計月報","旅客輸送","地方運輸局別・車種別能力人キロ",""
"0003423253","自動車輸送統計月報","月次","0","2024-12-04","0","全国","0","2024-12-04","","00600330","自動車輸送統計調査","00600","国土交通省","4-4","旅客輸送 地方運輸局別・車種別能力人キロ  2020年4月～","10","運輸・観光","01","運輸","自動車輸送統計月報","旅客輸送","地方運輸局別・車種別能力人キロ  2020年4月～",""
"0003090642","自動車輸送統計月報","月次","0","2020-12-23","0","該当なし","4104","2023-10-11","","00600330","自動車輸送統計調査","00600","国土交通省","4-5","旅客輸送 ６大都府県別・業態別・車種別輸送人員","10","運輸・観光","01","運輸","自動車輸送統計月報","旅客輸送","６大都府県別・業態別・車種別輸送人員",""
"0003423114","自動車輸送統計月報","月次","0","2024-12-04","0","全国","0","2024-12-04","","00600330","自動車輸送統計調査","00600","国土交通省","4-5","旅客輸送 ６大都府県別・業態別・車種別輸送人員  2020年4月～","10","運輸・観光","01","運輸","自動車輸送統計月報","旅客輸送","６大都府県別・業態別・車種別輸送人員  2020年4月～",""
"0003090622","自動車輸送統計月報","月次","0","2020-12-23","0","該当なし","2736","2023-10-11","","00600330","自動車輸送統計調査","00600","国土交通省","4-6","旅客輸送 ６大都府県別・業態別・車種別輸送人キロ","10","運輸・観光","01","運輸","自動車輸送統計月報","旅客輸送","６大都府県別・業態別・車種別輸送人キロ",""
"0003423214","自動車輸送統計月報","月次","0","2024-12-04","0","全国","0","2024-12-04","","00600330","自動車輸送統計調査","00600","国土交通省","4-6","旅客輸送 ６大都府県別・業態別・車種別輸送人キロ  2020年4月～","10","運輸・観光","01","運輸","自動車輸送統計月報","旅客輸送","６大都府県別・業態別・車種別輸送人キロ  2020年4月～",""
"0003090591","自動車輸送統計月報","月次","0","2020-12-23","0","該当なし","36936","2023-10-11","","00600330","自動車輸送統計調査","00600","国土交通省","4-7","旅客輸送 営業用バス（乗合・貸切）都道府県別輸送量","10","運輸・観光","01","運輸","自動車輸送統計月報","旅客輸送","営業用バス（乗合・貸切）都道府県別輸送量",""
"0003417713","自動車輸送統計月報","月次","0","2021-10-04","0","全国","7020","2023-10-11","","00600330","自動車輸送統計調査","00600","国土交通省","4-7","旅客運輸 営業用バス 都道府県（支局）別・車種別輸送人員、輸送人キロ  2020年4月～","10","運輸・観光","01","運輸","自動車輸送統計月報","旅客運輸","営業用バス 都道府県（支局）別・車種別輸送人員、輸送人キロ  2020年4月～",""
"0003417713","自動車輸送統計月報","月次","0","2021-10-04","0","都道府県","7020","2023-10-11","","00600330","自動車輸送統計調査","00600","国土交通省","4-7","旅客運輸 営業用バス 都道府県（支局）別・車種別輸送人員、輸送人キロ  2020年4月～","10","運輸・観光","01","運輸","自動車輸送統計月報","旅客運輸","営業用バス 都道府県（支局）別・車種別輸送人員、輸送人キロ  2020年4月～",""
"0003443079","自動車輸送統計月報","月次","0","2024-12-04","0","全国","0","2024-12-04","","00600330","自動車輸送統計調査","00600","国土交通省","4-7","旅客運輸 営業用バス 都道府県（支局）別・車種別輸送人員、輸送人キロ  2020年4月～","10","運輸・観光","01","運輸","自動車輸送統計月報","旅客運輸","営業用バス 都道府県（支局）別・車種別輸送人員、輸送人キロ  2020年4月～",""
"0003443079","自動車輸送統計月報","月次","0","2024-12-04","0","都道府県","0","2024-12-04","","00600330","自動車輸送統計調査","00600","国土交通省","4-7","旅客運輸 営業用バス 都道府県（支局）別・車種別輸送人員、輸送人キロ  2020年4月～","10","運輸・観光","01","運輸","自動車輸送統計月報","旅客運輸","営業用バス 都道府県（支局）別・車種別輸送人員、輸送人キロ  2020年4月～",""
"0003090558","自動車輸送統計月報","月次","0","2020-12-21","0","該当なし","4452","2023-10-11","","00600330","自動車輸送統計調査","00600","国土交通省","","","10","運輸・観光","01","運輸","自動車輸送統計月報","貨物輸送","原単位","貨物輸送 原単位"
"0003090660","自動車輸送統計月報","月次","0","2020-12-22","0","該当なし","2016","2023-10-11","","00600330","自動車輸送統計調査","00600","国土交通省","","","10","運輸・観光","01","運輸","自動車輸送統計月報","旅客輸送","原単位","旅客輸送 原単位"
"0003423213","自動車輸送統計月報","月次","0","2024-12-04","0","全国","0","2024-12-04","","00600330","自動車輸送統計調査","00600","国土交通省","","","10","運輸・観光","01","運輸","自動車輸送統計月報","旅客輸送","原単位　2020年4月～","旅客輸送 原単位　2020年4月～"
"0003426794","自動車輸送統計月報","月次","0","2024-12-04","0","全国","0","2024-12-04","","00600330","自動車輸送統計調査","00600","国土交通省","","","10","運輸・観光","01","運輸","自動車輸送統計月報","貨物輸送","原単位　2020年4月～","貨物輸送 原単位　2020年4月～"
"0003442538","自動車輸送統計年報","年度次","0","2024-09-20","0","全国","240","2024-09-30","","00600330","自動車輸送統計調査","00600","国土交通省","3-1","貨物輸送 貨物輸送量（トン数・トンキロ・能力トンキロ・実車キロ）2020年度～","10","運輸・観光","01","運輸","自動車輸送統計年報","貨物輸送","貨物輸送量（トン数・トンキロ・能力トンキロ・実車キロ）2020年度～",""
"0003355803","自動車輸送統計年報","年次","0","2020-12-22","0","該当なし","200","2023-10-11","","00600330","自動車輸送統計調査","00600","国土交通省","3-1-1","貨物輸送 貨物輸送量（トン数・トンキロ・能力トンキロ・実車キロ）","10","運輸・観光","01","運輸","自動車輸送統計年報","貨物輸送","貨物輸送量（トン数・トンキロ・能力トンキロ・実車キロ）",""
"0003355804","自動車輸送統計年報","年次","0","2020-05-06","0","該当なし","210","2023-10-11","","00600330","自動車輸送統計調査","00600","国土交通省","3-1-2","貨物輸送 原単位","10","運輸・観光","01","運輸","自動車輸送統計年報","貨物輸送","原単位",""
"0003355805","自動車輸送統計年報","年次","0","2020-05-07","0","該当なし","350","2023-10-11","","00600330","自動車輸送統計調査","00600","国土交通省","3-2","貨物輸送 地方運輸局別・業態別・車種別輸送トン数","10","運輸・観光","01","運輸","自動車輸送統計年報","貨物輸送","地方運輸局別・業態別・車種別輸送トン数",""
"0003443758","自動車輸送統計年報","年度次","0","2024-09-20","0","該当なし","3240","2024-09-30","","00600330","自動車輸送統計調査","00600","国土交通省","3-2","貨物輸送 都道府県別（支局別）・業態別・車種別輸送トン数 　2020年度～","10","運輸・観光","01","運輸","自動車輸送統計年報","貨物輸送","都道府県別（支局別）・業態別・車種別輸送トン数 　2020年度～",""
"0003355806","自動車輸送統計年報","年次","0","2020-03-05","0","該当なし","350","2023-10-11","","00600330","自動車輸送統計調査","00600","国土交通省","3-3","貨物輸送 地方運輸局別・業態別・車種別輸送トンキロ","10","運輸・観光","01","運輸","自動車輸送統計年報","貨物輸送","地方運輸局別・業態別・車種別輸送トンキロ",""
"0003443759","自動車輸送統計年報","年度次","0","2024-09-30","0","該当なし","3240","2024-09-30","","00600330","自動車輸送統計調査","00600","国土交通省","3-3","貨物輸送 都道府県別（支局別）・業態別・車種別輸送トンキロ 　2020年度～","10","運輸・観光","01","運輸","自動車輸送統計年報","貨物輸送","都道府県別（支局別）・業態別・車種別輸送トンキロ 　2020年度～",""
"0003355807","自動車輸送統計年報","年次","0","2020-04-16","0","該当なし","350","2023-10-11","","00600330","自動車輸送統計調査","00600","国土交通省","3-4","貨物輸送 地方運輸局別・業態別・車種別能力トンキロ","10","運輸・観光","01","運輸","自動車輸送統計年報","貨物輸送","地方運輸局別・業態別・車種別能力トンキロ",""
"0003443760","自動車輸送統計年報","年度次","0","2024-09-30","0","該当なし","3240","2024-09-30","","00600330","自動車輸送統計調査","00600","国土交通省","3-4","貨物輸送 都道府県別（支局別）・業態別・車種別能力トンキロ 　2020年度～","10","運輸・観光","01","運輸","自動車輸送統計年報","貨物輸送","都道府県別（支局別）・業態別・車種別能力トンキロ 　2020年度～",""
"0003355808","自動車輸送統計年報","年次","0","2020-05-16","0","該当なし","210","2023-10-11","","00600330","自動車輸送統計調査","00600","国土交通省","3-5","貨物輸送 ６大都府県別・業態別・車種別輸送トン数","10","運輸・観光","01","運輸","自動車輸送統計年報","貨物輸送","６大都府県別・業態別・車種別輸送トン数",""
