"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1"
"0003125915","内航船舶輸送統計調査","月次","0","2025-05-23","0","該当なし","132408","2025-06-20","","00600340","内航船舶輸送統計調査","00600","国土交通省","1","総括表 内航船舶輸送統計総括表","10","運輸・観光","01","運輸","内航船舶輸送統計調査","総括表","内航船舶輸送統計総括表",""
"0003422893","内航船舶輸送統計調査","年度次","0","2024-06-24","0","該当なし","540","2024-06-24","","00600340","内航船舶輸送統計調査","00600","国土交通省","1","推移表 内航船舶輸送統計推移表","10","運輸・観光","01","運輸","内航船舶輸送統計調査","推移表","内航船舶輸送統計推移表",""
"0003126559","内航船舶輸送統計調査","年度次","0","2024-06-24","0","該当なし","10051","2024-06-24","","00600340","内航船舶輸送統計調査","00600","国土交通省","10","流動表 産業圏間コンテナ流動表（営業用）","10","運輸・観光","01","運輸","内航船舶輸送統計調査","流動表","産業圏間コンテナ流動表（営業用）",""
"0003126568","内航船舶輸送統計調査","月次","0","2025-05-23","0","該当なし","10320","2025-06-20","","00600340","内航船舶輸送統計調査","00600","国土交通省","10","燃料消費量等 用途別、油種別燃料消費量","10","運輸・観光","01","運輸","内航船舶輸送統計調査","燃料消費量等","用途別、油種別燃料消費量",""
"0003126456","内航船舶輸送統計調査","年度次","0","2024-06-24","0","該当なし","31939","2024-06-24","","00600340","内航船舶輸送統計調査","00600","国土交通省","11","流動表 都道府県間流動表（営業用）","10","運輸・観光","01","運輸","内航船舶輸送統計調査","流動表","都道府県間流動表（営業用）",""
"0003126563","内航船舶輸送統計調査","月次","0","2020-11-16","0","該当なし","46","2020-12-29","","00600340","内航船舶輸送統計調査","00600","国土交通省","11","付表 内航船舶輸送統計推移表 年度次","10","運輸・観光","01","運輸","内航船舶輸送統計調査","付表","内航船舶輸送統計推移表","年度次"
"0003422274","内航船舶輸送統計調査","月次","0","2025-05-23","0","該当なし","3178","2025-06-20","","00600340","内航船舶輸送統計調査","00600","国土交通省","11","付表 内航船舶輸送統計推移表 月次","10","運輸・観光","01","運輸","内航船舶輸送統計調査","付表","内航船舶輸送統計推移表","月次"
"0003126368","内航船舶輸送統計調査","年度次","0","2024-06-24","0","該当なし","11592","2024-06-24","","00600340","内航船舶輸送統計調査","00600","国土交通省","12","貨物輸送 品目別輸送量（自家用）","10","運輸・観光","01","運輸","内航船舶輸送統計調査","貨物輸送","品目別輸送量（自家用）",""
"0003126390","内航船舶輸送統計調査","年度次","0","2024-06-24","0","該当なし","2736","2024-06-24","","00600340","内航船舶輸送統計調査","00600","国土交通省","13","燃料消費量 用途別、油種別燃料消費量","10","運輸・観光","01","運輸","内航船舶輸送統計調査","燃料消費量","用途別、油種別燃料消費量",""
"0003126399","内航船舶輸送統計調査","年度次","0","2024-06-24","0","該当なし","1368","2024-06-24","","00600340","内航船舶輸送統計調査","00600","国土交通省","14","燃料消費量 船型別船質別油種別燃料消費量（営業用）","10","運輸・観光","01","運輸","内航船舶輸送統計調査","燃料消費量","船型別船質別油種別燃料消費量（営業用）",""
"0003423033","内航船舶輸送統計調査","年度次","0","2024-06-24","0","該当なし","864","2024-06-24","","00600340","内航船舶輸送統計調査","00600","国土交通省","15","燃料消費量 貨物船用途別油別燃料消費量（営業用）","10","運輸・観光","01","運輸","内航船舶輸送統計調査","燃料消費量","貨物船用途別油別燃料消費量（営業用）",""
"0003125916","内航船舶輸送統計調査","月次","0","2025-05-23","0","該当なし","264816","2025-06-20","","00600340","内航船舶輸送統計調査","00600","国土交通省","2","貨物輸送 大型鋼船、品目別、用途別、 トン数階級別輸送実績","10","運輸・観光","01","運輸","内航船舶輸送統計調査","貨物輸送","大型鋼船、品目別、用途別、 トン数階級別輸送実績",""
"0003126396","内航船舶輸送統計調査","年度次","0","2024-06-24","0","該当なし","5796","2024-06-24","","00600340","内航船舶輸送統計調査","00600","国土交通省","2-1","総括表 内航船舶輸送統計総括表（品目別輸送量）","10","運輸・観光","01","運輸","内航船舶輸送統計調査","総括表","内航船舶輸送統計総括表（品目別輸送量）",""
"0003125896","内航船舶輸送統計調査","月次","0","2025-05-23","0","該当なし","242748","2025-06-20","","00600340","内航船舶輸送統計調査","00600","国土交通省","3","貨物輸送 大型鋼船、品目別、専用船用途別輸送実績","10","運輸・観光","01","運輸","内航船舶輸送統計調査","貨物輸送","大型鋼船、品目別、専用船用途別輸送実績",""
"0003126366","内航船舶輸送統計調査","年度次","0","2024-06-24","0","該当なし","11592","2024-06-24","","00600340","内航船舶輸送統計調査","00600","国土交通省","3","貨物輸送 品目別輸送量（営業用）","10","運輸・観光","01","運輸","内航船舶輸送統計調査","貨物輸送","品目別輸送量（営業用）",""
"0003126388","内航船舶輸送統計調査","年度次","0","2024-06-24","0","該当なし","46944","2024-06-24","","00600340","内航船舶輸送統計調査","00600","国土交通省","4","貨物輸送 品目別用途別トン数階級別輸送量（営業用）","10","運輸・観光","01","運輸","内航船舶輸送統計調査","貨物輸送","品目別用途別トン数階級別輸送量（営業用）",""
"0003126593","内航船舶輸送統計調査","月次","0","2025-05-23","0","該当なし","198612","2025-06-20","","00600340","内航船舶輸送統計調査","00600","国土交通省","4","貨物輸送 小型鋼船及び木船、品目別、用途別、トン階級別輸送実績","10","運輸・観光","01","運輸","内航船舶輸送統計調査","貨物輸送","小型鋼船及び木船、品目別、用途別、トン階級別輸送実績",""
"0003126397","内航船舶輸送統計調査","年度次","0","2024-06-24","0","該当なし","21252","2024-06-24","","00600340","内航船舶輸送統計調査","00600","国土交通省","5","貨物輸送 大型鋼船品目別専用船等用途別輸送量（営業用）","10","運輸・観光","01","運輸","内航船舶輸送統計調査","貨物輸送","大型鋼船品目別専用船等用途別輸送量（営業用）",""
"0003126624","内航船舶輸送統計調査","月次","0","2025-05-23","0","該当なし","132408","2025-06-20","","00600340","内航船舶輸送統計調査","00600","国土交通省","5","貨物輸送 小型鋼船及び木船、コンテナ品目別、トン階級別輸送実績","10","運輸・観光","01","運輸","内航船舶輸送統計調査","貨物輸送","小型鋼船及び木船、コンテナ品目別、トン階級別輸送実績",""
"0003126350","内航船舶輸送統計調査","年度次","0","2024-06-24","0","該当なし","11592","2024-06-24","","00600340","内航船舶輸送統計調査","00600","国土交通省","6","貨物輸送 小型鋼船及び木船コンテナ品目別トン階級別輸送量（営業用）","10","運輸・観光","01","運輸","内航船舶輸送統計調査","貨物輸送","小型鋼船及び木船コンテナ品目別トン階級別輸送量（営業用）",""
"0003126367","内航船舶輸送統計調査","年度次","0","2024-06-24","0","該当なし","6669","2024-06-24","","00600340","内航船舶輸送統計調査","00600","国土交通省","7","貨物輸送 船質別用途別輸送距離帯別輸送量（営業用）","10","運輸・観光","01","運輸","内航船舶輸送統計調査","貨物輸送","船質別用途別輸送距離帯別輸送量（営業用）",""
"0003126600","内航船舶輸送統計調査","月次","0","2025-05-23","0","該当なし","227470","2025-06-20","","00600340","内航船舶輸送統計調査","00600","国土交通省","7","流動 産業圏間流動表","10","運輸・観光","01","運輸","内航船舶輸送統計調査","流動","産業圏間流動表",""
"0003126389","内航船舶輸送統計調査","年度次","0","2024-06-24","0","該当なし","9747","2024-06-24","","00600340","内航船舶輸送統計調査","00600","国土交通省","8","貨物輸送 主要品目別輸送距離帯別輸送量（営業用）","10","運輸・観光","01","運輸","内航船舶輸送統計調査","貨物輸送","主要品目別輸送距離帯別輸送量（営業用）",""
"0003126569","内航船舶輸送統計調査","月次","0","2025-05-23","0","該当なし","113735","2025-06-20","","00600340","内航船舶輸送統計調査","00600","国土交通省","8","流動 産業圏間コンテナ流動表","10","運輸・観光","01","運輸","内航船舶輸送統計調査","流動","産業圏間コンテナ流動表",""
"0003126398","内航船舶輸送統計調査","年度次","0","2024-06-24","0","該当なし","190969","2024-06-24","","00600340","内航船舶輸送統計調査","00600","国土交通省","9","流動表 主要品目別産業圏間流動表（営業用）","10","運輸・観光","01","運輸","内航船舶輸送統計調査","流動表","主要品目別産業圏間流動表（営業用）",""
"0003126625","内航船舶輸送統計調査","月次","0","2025-05-23","0","該当なし","15480","2025-06-20","","00600340","内航船舶輸送統計調査","00600","国土交通省","9","燃料消費量等 船型別、船質別、油種別燃料消費量","10","運輸・観光","01","運輸","内航船舶輸送統計調査","燃料消費量等","船型別、船質別、油種別燃料消費量",""
