"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY2","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE","TITLE_SPEC.TABLE_SUB_CATEGORY3"
"0003173927","航空輸送統計調査","年度次","0","2024-06-28","0","該当なし","12438","2024-06-28","","00600360","航空輸送統計調査","00600","国土交通省","10","統計表 第9表 国内定期航空空港間旅客流動表 年度次","10","運輸・観光","01","運輸","航空輸送統計調査","統計表","第9表 国内定期航空空港間旅客流動表","年度次","","",""
"0003173888","航空輸送統計調査","年度次","0","2024-06-28","0","該当なし","10172","2024-06-28","","00600360","航空輸送統計調査","00600","国土交通省","11","統計表 第10表 国内定期航空空港間貨物流動表 年次","10","運輸・観光","01","運輸","航空輸送統計調査","統計表","第10表 国内定期航空空港間貨物流動表","年次","","",""
"0003173869","航空輸送統計調査","年度次","0","2024-06-28","0","該当なし","10164","2024-06-28","","00600360","航空輸送統計調査","00600","国土交通省","12","統計表 第10表 国内定期航空空港間貨物流動表 年度次","10","運輸・観光","01","運輸","航空輸送統計調査","統計表","第10表 国内定期航空空港間貨物流動表","年度次","","",""
"0003173882","航空輸送統計調査","年度次","0","2024-07-03","0","該当なし","918","2024-07-31","","00600360","航空輸送統計調査","00600","国土交通省","2","統計表 第2表 国内定期航空月別運航及び輸送実績 年度次","10","運輸・観光","01","運輸","航空輸送統計調査","統計表","第2表 国内定期航空月別運航及び輸送実績","年度次","","",""
"0003173901","航空輸送統計調査","年度次","0","2024-07-03","0","該当なし","11016","2024-07-31","","00600360","航空輸送統計調査","00600","国土交通省","2","統計表 第2表 国内定期航空月別運航及び輸送実績 月次","10","運輸・観光","01","運輸","航空輸送統計調査","統計表","第2表 国内定期航空月別運航及び輸送実績","月次","","",""
"0003173921","航空輸送統計調査","年度次","0","2024-07-03","0","該当なし","918","2024-07-31","","00600360","航空輸送統計調査","00600","国土交通省","2","統計表 第2表 国内定期航空月別運航及び輸送実績 年次","10","運輸・観光","01","運輸","航空輸送統計調査","統計表","第2表 国内定期航空月別運航及び輸送実績","年次","","",""
"0003173863","航空輸送統計調査","年度次","0","2024-07-03","0","該当なし","54774","2024-07-31","","00600360","航空輸送統計調査","00600","国土交通省","3","統計表 第3表 国内定期航空路線別、区間別、月別運航及び輸送実績 幹線 月次","10","運輸・観光","01","運輸","航空輸送統計調査","統計表","第3表 国内定期航空路線別、区間別、月別運航及び輸送実績","月次","幹線","",""
"0003173864","航空輸送統計調査","年度次","0","2024-07-03","0","該当なし","184185","2024-07-31","","00600360","航空輸送統計調査","00600","国土交通省","3","統計表 第3表 国内定期航空路線別、区間別、月別運航及び輸送実績 ローカル線 年次","10","運輸・観光","01","運輸","航空輸送統計調査","統計表","第3表 国内定期航空路線別、区間別、月別運航及び輸送実績","年次","ローカル線","",""
"0003173883","航空輸送統計調査","年度次","0","2024-07-03","0","該当なし","755106","2024-07-31","","00600360","航空輸送統計調査","00600","国土交通省","3","統計表 第3表 国内定期航空路線別、区間別、月別運航及び輸送実績 ローカル線 月次","10","運輸・観光","01","運輸","航空輸送統計調査","統計表","第3表 国内定期航空路線別、区間別、月別運航及び輸送実績","月次","ローカル線","",""
"0003173902","航空輸送統計調査","年度次","0","2024-07-03","0","該当なし","13464","2024-07-31","","00600360","航空輸送統計調査","00600","国土交通省","3","統計表 第3表 国内定期航空路線別、区間別、月別運航及び輸送実績 幹線 年次","10","運輸・観光","01","運輸","航空輸送統計調査","統計表","第3表 国内定期航空路線別、区間別、月別運航及び輸送実績","年次","幹線","",""
"0003173903","航空輸送統計調査","年度次","0","2024-07-03","0","該当なし","184185","2024-07-31","","00600360","航空輸送統計調査","00600","国土交通省","3","統計表 第3表 国内定期航空路線別、区間別、月別運航及び輸送実績 ローカル線 年度次","10","運輸・観光","01","運輸","航空輸送統計調査","統計表","第3表 国内定期航空路線別、区間別、月別運航及び輸送実績","年度次","ローカル線","",""
