"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION"
"0003349590","世帯土地統計 平成25年世帯土地統計 全国編","年次","201301-201312","2019-11-27","0","全国","105","2019-11-28","","00600475","世帯土地統計","00600","国土交通省","1","１．土地の所有に関する総括的な事項 世帯人員，土地の所有状況別世帯数","08","住宅・土地・建設","01","住宅・土地","世帯土地統計","平成25年世帯土地統計","全国編","１．土地の所有に関する総括的な事項","世帯人員，土地の所有状況別世帯数","1) 土地の所有状況「総数」には「不詳」を含む。<br>2) 土地の所有状況「現住居の敷地以外の土地_現住居の敷地以外の土地を所有している_農地または山林_農地」及び「現住居の敷地以外の土地_現住居の敷地以外の土地を所有している_農地または山林_山林」には「農地」と「山林」両方を所有している世帯を含む。"
"0003349591","世帯土地統計 平成25年世帯土地統計 全国編","年次","201301-201312","2019-11-27","0","全国","315","2019-11-28","","00600475","世帯土地統計","00600","国土交通省","1","１．土地の所有に関する総括的な事項 世帯の型，土地の所有状況別世帯数","08","住宅・土地・建設","01","住宅・土地","世帯土地統計","平成25年世帯土地統計","全国編","１．土地の所有に関する総括的な事項","世帯の型，土地の所有状況別世帯数","1) 土地の所有状況「総数」には「不詳」を含む。<br>2) 土地の所有状況「現住居の敷地以外の土地_現住居の敷地以外の土地を所有している_農地または山林_農地」及び「現住居の敷地以外の土地_現住居の敷地以外の土地を所有している_農地または山林_山林」には「農地」と「山林」両方を所有している世帯を含む。"
"0003349592","世帯土地統計 平成25年世帯土地統計 全国編","年次","201301-201312","2019-11-27","0","全国","180","2019-11-28","","00600475","世帯土地統計","00600","国土交通省","1","１．土地の所有に関する総括的な事項 世帯の年間収入階級，土地の所有状況別世帯数","08","住宅・土地・建設","01","住宅・土地","世帯土地統計","平成25年世帯土地統計","全国編","１．土地の所有に関する総括的な事項","世帯の年間収入階級，土地の所有状況別世帯数","1) 土地の所有状況「総数」には「不詳」を含む。<br>2) 土地の所有状況「現住居の敷地以外の土地_現住居の敷地以外の土地を所有している_農地または山林_農地」及び「現住居の敷地以外の土地_現住居の敷地以外の土地を所有している_農地または山林_山林」には「農地」と「山林」両方を所有している世帯を含む。"
"0003349593","世帯土地統計 平成25年世帯土地統計 全国編","年次","201301-201312","2019-11-27","0","全国","195","2019-11-28","","00600475","世帯土地統計","00600","国土交通省","1","１．土地の所有に関する総括的な事項 家計を主に支える者の年齢，土地の所有状況別世帯数","08","住宅・土地・建設","01","住宅・土地","世帯土地統計","平成25年世帯土地統計","全国編","１．土地の所有に関する総括的な事項","家計を主に支える者の年齢，土地の所有状況別世帯数","1) 土地の所有状況「総数」には「不詳」を含む。<br>2) 土地の所有状況「現住居の敷地以外の土地_現住居の敷地以外の土地を所有している_農地または山林_農地」及び「現住居の敷地以外の土地_現住居の敷地以外の土地を所有している_農地または山林_山林」には「農地」と「山林」両方を所有している世帯を含む。"
"0003349594","世帯土地統計 平成25年世帯土地統計 全国編","年次","201301-201312","2019-11-27","0","全国","195","2019-11-28","","00600475","世帯土地統計","00600","国土交通省","1","１．土地の所有に関する総括的な事項 家計を主に支える者の従業上の地位，土地の所有状況別世帯数","08","住宅・土地・建設","01","住宅・土地","世帯土地統計","平成25年世帯土地統計","全国編","１．土地の所有に関する総括的な事項","家計を主に支える者の従業上の地位，土地の所有状況別世帯数","1) 土地の所有状況「総数」には「不詳」を含む。<br>2) 土地の所有状況「現住居の敷地以外の土地_現住居の敷地以外の土地を所有している_農地または山林_農地」及び「現住居の敷地以外の土地_現住居の敷地以外の土地を所有している_農地または山林_山林」には「農地」と「山林」両方を所有している世帯を含む。"
"0003349607","世帯土地統計 平成25年世帯土地統計 全国編","年次","201301-201312","2019-11-27","0","全国","1008","2019-11-28","","00600475","世帯土地統計","00600","国土交通省","10","２．宅地などの所有形態に関する事項 世帯の所在地，所有形態別現住居の敷地の所有世帯数及び所有面積(一戸建住宅・共同住宅敷地の所有世帯数及び所有面積－特掲)","08","住宅・土地・建設","01","住宅・土地","世帯土地統計","平成25年世帯土地統計","全国編","２．宅地などの所有形態に関する事項","世帯の所在地，所有形態別現住居の敷地の所有世帯数及び所有面積(一戸建住宅・共同住宅敷地の所有世帯数及び所有面積－特掲)",""
"0003349607","世帯土地統計 平成25年世帯土地統計 全国編","年次","201301-201312","2019-11-27","0","市区町村","1008","2019-11-28","","00600475","世帯土地統計","00600","国土交通省","10","２．宅地などの所有形態に関する事項 世帯の所在地，所有形態別現住居の敷地の所有世帯数及び所有面積(一戸建住宅・共同住宅敷地の所有世帯数及び所有面積－特掲)","08","住宅・土地・建設","01","住宅・土地","世帯土地統計","平成25年世帯土地統計","全国編","２．宅地などの所有形態に関する事項","世帯の所在地，所有形態別現住居の敷地の所有世帯数及び所有面積(一戸建住宅・共同住宅敷地の所有世帯数及び所有面積－特掲)",""
"0003349778","世帯土地統計 平成25年世帯土地統計 全国編","年次","201301-201312","2019-11-27","0","全国","1500","2019-11-28","","00600475","世帯土地統計","00600","国土交通省","101","５．宅地などの利用状況に関する事項 世帯の年間収入階級，取得時期，利用現況別現住居の敷地以外の宅地などの所有件数及び所有面積","08","住宅・土地・建設","01","住宅・土地","世帯土地統計","平成25年世帯土地統計","全国編","５．宅地などの利用状況に関する事項","世帯の年間収入階級，取得時期，利用現況別現住居の敷地以外の宅地などの所有件数及び所有面積","1) 利用現況「総数」には「不詳」を含む。<br>2) 取得時期「総数」には「不詳」を含む。"
"0003349779","世帯土地統計 平成25年世帯土地統計 全国編","年次","201301-201312","2019-11-27","0","全国","570","2019-11-28","","00600475","世帯土地統計","00600","国土交通省","103","５．宅地などの利用状況に関する事項 家計を主に支える者の従業上の地位，取得時期，利用現況別現住居の敷地以外の宅地などの所有件数及び所有面積","08","住宅・土地・建設","01","住宅・土地","世帯土地統計","平成25年世帯土地統計","全国編","５．宅地などの利用状況に関する事項","家計を主に支える者の従業上の地位，取得時期，利用現況別現住居の敷地以外の宅地などの所有件数及び所有面積","1) 利用現況「総数」には「不詳」を含む。<br>2) 取得時期「総数」には「不詳」を含む。"
"0003349780","世帯土地統計 平成25年世帯土地統計 全国編","年次","201301-201312","2019-11-27","0","全国","1710","2019-11-28","","00600475","世帯土地統計","00600","国土交通省","105","５．宅地などの利用状況に関する事項 土地の所在地，利用現況別現住居の敷地以外の宅地などの所有件数及び所有面積","08","住宅・土地・建設","01","住宅・土地","世帯土地統計","平成25年世帯土地統計","全国編","５．宅地などの利用状況に関する事項","土地の所在地，利用現況別現住居の敷地以外の宅地などの所有件数及び所有面積","1) 利用現況「総数」には「不詳」を含む。"
