"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_NAME","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3","TITLE_SPEC.TABLE_CATEGORY"
"0003013525","法人建物調査 平成15年 全国編","-","200301-200312","2010-03-19","0","該当なし","9324","2010-03-19","","00600480","法人建物調査","00600","国土交通省","1","法人業種(59区分)・会社法人業種(59区分)・資本金額(16区分)・支所・支社・支店の数(６区分)，所有する建物の有無(２区分)・建物の構造(６区分)・建物の建築時期(14区分)・建物の敷地の権原(７区分)・建物の主な利用現況(10区分)・建物の利用現況(15区分)・建物の貸付の有無(２区分)別法人数＿全国","08","住宅・土地・建設","01","住宅・土地","法人建物調査","平成15年","全国編","法人業種(59区分)・会社法人業種(59区分)・資本金額(16区分)・支所・支社・支店の数(６区分)，所有する建物の有無(２区分)・建物の構造(６区分)・建物の建築時期(14区分)・建物の敷地の権原(７区分)・建物の主な利用現況(10区分)・建物の利用現況(15区分)・建物の貸付の有無(２区分)別法人数＿全国","",""
"0003013534","法人建物調査 平成15年 全国編","-","200301-200312","2010-03-19","0","該当なし","1034","2010-03-19","","00600480","法人建物調査","00600","国土交通省","10","組織形態及び上場の有無(15区分)・常用雇用者数(11区分)・所有する土地の有無及び所有する土地の総面積(15区分)，延べ床面積(９区分)別工場数及び総延べ床面積・１法人当たり総延べ床面積・１工場当たり延べ床面積＜工場敷地内の建物＞＿全国","08","住宅・土地・建設","01","住宅・土地","法人建物調査","平成15年","全国編","組織形態及び上場の有無(15区分)・常用雇用者数(11区分)・所有する土地の有無及び所有する土地の総面積(15区分)，延べ床面積(９区分)別工場数及び総延べ床面積・１法人当たり総延べ床面積・１工場当たり延べ床面積＜工場敷地内の建物＞＿全国","",""
"0003013535","法人建物調査 平成15年 全国編","-","200301-200312","2010-03-19","0","該当なし","726","2010-03-19","","00600480","法人建物調査","00600","国土交通省","11","主な建物の構造(６区分)・主な建物の建築時期(14区分)・工場の敷地の権原(７区分)，延べ床面積(９区分)別工場数及び総延べ床面積・１法人当たり総延べ床面積・１工場当たり延べ床面積＜工場敷地内の建物＞＿全国","08","住宅・土地・建設","01","住宅・土地","法人建物調査","平成15年","全国編","主な建物の構造(６区分)・主な建物の建築時期(14区分)・工場の敷地の権原(７区分)，延べ床面積(９区分)別工場数及び総延べ床面積・１法人当たり総延べ床面積・１工場当たり延べ床面積＜工場敷地内の建物＞＿全国","",""
"0003013536","法人建物調査 平成15年 全国編","-","200301-200312","2010-03-19","0","該当なし","9176","2010-03-19","","00600480","法人建物調査","00600","国土交通省","12","法人業種(59区分)・会社法人業種(59区分)・資本金額(16区分)・支所・支社・支店の数(６区分)，建物の構造(６区分)・建物の構造(３区分)，階数(７区分)別建物数及び総延べ床面積＜工場敷地以外の建物＞＿全国","08","住宅・土地・建設","01","住宅・土地","法人建物調査","平成15年","全国編","法人業種(59区分)・会社法人業種(59区分)・資本金額(16区分)・支所・支社・支店の数(６区分)，建物の構造(６区分)・建物の構造(３区分)，階数(７区分)別建物数及び総延べ床面積＜工場敷地以外の建物＞＿全国","",""
"0003013537","法人建物調査 平成15年 全国編","-","200301-200312","2010-03-19","0","該当なし","3534","2010-03-19","","00600480","法人建物調査","00600","国土交通省","13","建物所在地(55区分)，建物の構造(６区分)・建物の構造(３区分)，階数(７区分)別建物数及び総延べ床面積＜工場敷地以外の建物＞＿全国","08","住宅・土地・建設","01","住宅・土地","法人建物調査","平成15年","全国編","建物所在地(55区分)，建物の構造(６区分)・建物の構造(３区分)，階数(７区分)別建物数及び総延べ床面積＜工場敷地以外の建物＞＿全国","",""
"0003013538","法人建物調査 平成15年 全国編","-","200301-200312","2010-03-19","0","該当なし","1860","2010-03-19","","00600480","法人建物調査","00600","国土交通省","14","組織形態及び上場の有無(15区分)・常用雇用者数(11区分)，建物の構造(６区分)・建物の構造(３区分)，階数(７区分)別建物数及び総延べ床面積＜工場敷地以外の建物＞＿全国","08","住宅・土地・建設","01","住宅・土地","法人建物調査","平成15年","全国編","組織形態及び上場の有無(15区分)・常用雇用者数(11区分)，建物の構造(６区分)・建物の構造(３区分)，階数(７区分)別建物数及び総延べ床面積＜工場敷地以外の建物＞＿全国","",""
"0003013539","法人建物調査 平成15年 全国編","-","200301-200312","2010-03-19","0","該当なし","682","2010-03-19","","00600480","法人建物調査","00600","国土交通省","15","建物の主な利用現況(９区分)，建物の構造(６区分)・建物の構造(３区分)，階数(７区分)別建物数及び総延べ床面積＜工場敷地以外の建物＞＿全国","08","住宅・土地・建設","01","住宅・土地","法人建物調査","平成15年","全国編","建物の主な利用現況(９区分)，建物の構造(６区分)・建物の構造(３区分)，階数(７区分)別建物数及び総延べ床面積＜工場敷地以外の建物＞＿全国","",""
"0003013540","法人建物調査 平成15年 全国編","-","200301-200312","2010-03-19","0","該当なし","2142","2010-03-19","","00600480","法人建物調査","00600","国土交通省","16","法人業種(59区分)・資本金額(16区分)・建物所在地(55区分)・組織形態及び上場の有無(15区分)，主な建物の構造(６区分)別工場数及び総延べ床面積＜工場敷地内の建物＞＿全国","08","住宅・土地・建設","01","住宅・土地","法人建物調査","平成15年","全国編","法人業種(59区分)・資本金額(16区分)・建物所在地(55区分)・組織形態及び上場の有無(15区分)，主な建物の構造(６区分)別工場数及び総延べ床面積＜工場敷地内の建物＞＿全国","",""
"0003013541","法人建物調査 平成15年 全国編","-","200301-200312","2010-03-19","0","該当なし","4440","2010-03-19","","00600480","法人建物調査","00600","国土交通省","17","法人業種(59区分)・会社法人業種(59区分)・資本金額(16区分)・支所・支社・支店の数(６区分)，建物の建築時期(14区分)別建物数及び総延べ床面積＜工場敷地以外の建物＞＿全国","08","住宅・土地・建設","01","住宅・土地","法人建物調査","平成15年","全国編","法人業種(59区分)・会社法人業種(59区分)・資本金額(16区分)・支所・支社・支店の数(６区分)，建物の建築時期(14区分)別建物数及び総延べ床面積＜工場敷地以外の建物＞＿全国","",""
"0003013542","法人建物調査 平成15年 全国編","-","200301-200312","2010-03-19","0","該当なし","1710","2010-03-19","","00600480","法人建物調査","00600","国土交通省","18","建物所在地(55区分)，建物の建築時期(14区分)別建物数及び総延べ床面積＜工場敷地以外の建物＞＿全国","08","住宅・土地・建設","01","住宅・土地","法人建物調査","平成15年","全国編","建物所在地(55区分)，建物の建築時期(14区分)別建物数及び総延べ床面積＜工場敷地以外の建物＞＿全国","",""
