"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1"
"0003387982","災害統計","年次","201601-201612","2020-02-07","0","該当なし","252","2020-10-05","","00600910","災害統計","00600","国土交通省","1","総括 国土交通省所管決定総額　申請額・決定額","14","司法・安全・環境","03","災害","災害統計","総括","国土交通省所管決定総額　申請額・決定額","（注１）直轄及び水資源機構分の各計数については、「決定事業費」を記入してある。<br>（注２）補助には、国による代行分を含む。",""
"0003387984","災害統計","年次","201601-201612","2020-02-07","0","該当なし","215","2020-02-08","","00600910","災害統計","00600","国土交通省","1","補助災害_総括表 検査率分類表","14","司法・安全・環境","03","災害","災害統計","補助災害_総括表","検査率分類表","（注）１、被害報告額は施行令第５条による報告額である。<br>２、申請額及び決定額は、内未成額を控除した金額である（以下関係各表につい て同じ）。なお、決定額は、国庫負担率算定の基礎となったものである。<br>３、「実査」とは、査定の際、直接被害現場を調査して決定したものであり、「机上」 とは、机上で資料により決定したものである。<br>４、外書は、管理組合分である。<br>５、国による代行分を含む。",""
"0003388000","災害統計","年次","201601-201612","2020-02-07","0","該当なし","8726","2020-02-08","","00600910","災害統計","00600","国土交通省","1","補助災害_都道府県別分類表 検査率分類表","14","司法・安全・環境","03","災害","災害統計","補助災害_都道府県別分類表","検査率分類表","",""
"0003388015","災害統計","年次","201601-201612","2020-02-07","0","該当なし","3698","2020-02-08","","00600910","災害統計","00600","国土交通省","1","直轄災害 工種別決定額分類表","14","司法・安全・環境","03","災害","災害統計","直轄災害","工種別決定額分類表","（注）国による代行分は除く。<br>（注）外書は、被災箇所における重複箇所である。",""
"0003388020","災害統計","年次","201601-201612","2020-02-07","0","該当なし","538","2020-02-08","","00600910","災害統計","00600","国土交通省","1","国庫負担率 総括表","14","司法・安全・環境","03","災害","災害統計","国庫負担率","総括表","",""
"0003388027","災害統計","年次","201601-201612","2020-02-07","0","該当なし","120","2020-02-08","","00600910","災害統計","00600","国土交通省","1","激甚災害 激甚災害事業費及び特別財政援助額 (総括表)","14","司法・安全・環境","03","災害","災害統計","激甚災害","激甚災害事業費及び特別財政援助額 (総括表)","",""
"0003388030","災害統計","年次","201601-201612","2020-02-07","0","該当なし","279","2020-02-08","","00600910","災害統計","00600","国土交通省","1","激甚災害(2011年発生激甚災害) 激甚災害事業費及び特別財政援助額 (総括表)","14","司法・安全・環境","03","災害","災害統計","激甚災害(2011年発生激甚災害)","激甚災害事業費及び特別財政援助額 (総括表)","",""
"0003387997","災害統計","年次","201601-201612","2020-02-07","0","該当なし","384","2020-02-08","","00600910","災害統計","00600","国土交通省","10","補助災害_総括表 決定額、実施設計額及び精算額分類表","14","司法・安全・環境","03","災害","災害統計","補助災害_総括表","決定額、実施設計額及び精算額分類表","（注）１、当年度の国庫負担金交付箇所について調査したものである。<br>　　　２、「直営」欄には官給資材、用地及び補償費等も含んでいる。<br>　　　３、廃工額は一部廃工は含まない。<br>　　　４、本表の金額は未成額を控除してない。",""
"0003388013","災害統計","年次","201601-201612","2020-02-07","0","該当なし","32400","2020-02-08","","00600910","災害統計","00600","国土交通省","10","補助災害_都道府県別分類表 単独災害費支出額分類表","14","司法・安全・環境","03","災害","災害統計","補助災害_都道府県別分類表","単独災害費支出額分類表","",""
"0003387998","災害統計","年次","201601-201612","2020-02-07","0","該当なし","2832","2020-02-08","","00600910","災害統計","00600","国土交通省","11","補助災害_総括表 応急費支出額分類表","14","司法・安全・環境","03","災害","災害統計","補助災害_総括表","応急費支出額分類表","注１、当年度に支出したものについて調査したものである。<br>　２、道路の本工事には、崩土取除きを含んでいる。",""
"0003388014","災害統計","年次","201601-201612","2020-02-07","0","該当なし","15822","2020-02-08","","00600910","災害統計","00600","国土交通省","11","補助災害_都道府県別分類表 単独災害発生額分類表(都道府県)","14","司法・安全・環境","03","災害","災害統計","補助災害_都道府県別分類表","単独災害発生額分類表(都道府県)","",""
"0003387999","災害統計","年次","201601-201612","2020-02-07","0","該当なし","5184","2020-02-08","","00600910","災害統計","00600","国土交通省","12","補助災害_総括表 単独災害支出額分類表","14","司法・安全・環境","03","災害","災害統計","補助災害_総括表","単独災害支出額分類表","（注）１．当年度において支出したものについて調査したものである。したがって、過年災害の復旧費を含んでいる。<br>　　　２．内書は、起債対象となったものである。",""
"0003387983","災害統計","年次","201601-201612","2020-02-07","0","該当なし","692","2020-02-08","","00600910","災害統計","00600","国土交通省","2","総括 国土交通省所管決定総額　工種別決定額","14","司法・安全・環境","03","災害","災害統計","総括","国土交通省所管決定総額　工種別決定額","（注１）直轄及び水資源機構分の各計数については、「決定事業費」を記入してある。<br>（注２）補助には、国による代行分を含む。",""
"0003388021","災害統計","年次","201601-201612","2020-02-07","0","該当なし","1992","2020-02-08","","00600910","災害統計","00600","国土交通省","2","国庫負担率 都道府県及び指定市公共土木施設災害復旧事業費調","14","司法・安全・環境","03","災害","災害統計","国庫負担率","都道府県及び指定市公共土木施設災害復旧事業費調","外書は、組合等分である。",""
"0003388028","災害統計","年次","201601-201612","2020-02-07","0","該当なし","7277","2020-02-08","","00600910","災害統計","00600","国土交通省","2","激甚災害 激甚災害事業費及び特別財政援助額","14","司法・安全・環境","03","災害","災害統計","激甚災害","激甚災害事業費及び特別財政援助額","外書は、離島分である。",""
"0003388031","災害統計","年次","201601-201612","2020-02-07","0","該当なし","19026","2020-02-08","","00600910","災害統計","00600","国土交通省","2","激甚災害(2011年発生激甚災害) 激甚災害事業費及び特別財政援助額","14","司法・安全・環境","03","災害","災害統計","激甚災害(2011年発生激甚災害)","激甚災害事業費及び特別財政援助額","外書は、離島分である。",""
"0003388036","災害統計","年次","201601-201612","2020-02-07","0","該当なし","3312","2020-02-08","","00600910","災害統計","00600","国土交通省","2","付録 都道府県別一般被害分類表","14","司法・安全・環境","03","災害","災害統計","付録","都道府県別一般被害分類表","（注）本表は、各都道府県の消防防災課のとりまとめたものにより作成したものである。",""
"0003388019","災害統計","年次","201601-201612","2020-02-07","0","該当なし","4074","2020-02-08","","00600910","災害統計","00600","国土交通省","3","直轄災害 実施額分類表","14","司法・安全・環境","03","災害","災害統計","直轄災害","実施額分類表","（注）実施額とは、最終予算額である。",""
"0003388022","災害統計","年次","201601-201612","2020-02-07","0","該当なし","1632","2020-02-08","","00600910","災害統計","00600","国土交通省","3","国庫負担率 都道府県工事連年災害該当調","14","司法・安全・環境","03","災害","災害統計","国庫負担率","都道府県工事連年災害該当調","",""
"0003388029","災害統計","年次","201601-201612","2020-02-07","0","該当なし","898","2020-02-08","","00600910","災害統計","00600","国土交通省","3","激甚災害 市町村別激甚災害、特別財政援助額及び嵩上げ国庫負担率","14","司法・安全・環境","03","災害","災害統計","激甚災害","市町村別激甚災害、特別財政援助額及び嵩上げ国庫負担率","",""
