"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","TITLE_SPEC.TABLE_NAME"
"0003288319","観光地域経済調査（確報）全国集計表","業種（８区分），開設時期（４区分）別事業所数","-","201201-201212","2019-02-21","0","該当なし","54","2019-03-13","","00601040","観光地域経済調査","00601","観光庁","10","運輸・観光","03","観光","観光地域経済調査（確報）全国集計表","業種（８区分），開設時期（４区分）別事業所数"
"0003288328","観光地域経済調査（確報）全国集計表","業種（８区分），経営組織（４区分）別事業所数","-","201201-201212","2019-02-21","0","該当なし","45","2019-03-13","","00601040","観光地域経済調査","00601","観光庁","10","運輸・観光","03","観光","観光地域経済調査（確報）全国集計表","業種（８区分），経営組織（４区分）別事業所数"
"0003288330","観光地域経済調査（確報）全国集計表","業種（８区分），資本金階級（１１区分）別事業所数","-","201201-201212","2019-02-21","0","該当なし","162","2019-03-13","","00601040","観光地域経済調査","00601","観光庁","10","運輸・観光","03","観光","観光地域経済調査（確報）全国集計表","業種（８区分），資本金階級（１１区分）別事業所数"
"0003288331","観光地域経済調査（確報）全国集計表","業種（８区分），従業者数（９区分）別事業所数","-","201201-201212","2019-02-21","0","該当なし","90","2019-03-13","","00601040","観光地域経済調査","00601","観光庁","10","運輸・観光","03","観光","観光地域経済調査（確報）全国集計表","業種（８区分），従業者数（９区分）別事業所数"
"0003288333","観光地域経済調査（確報）全国集計表","業種（８区分），営業日数（３区分）別事業所数","-","201201-201212","2019-02-21","0","該当なし","45","2019-03-13","","00601040","観光地域経済調査","00601","観光庁","10","運輸・観光","03","観光","観光地域経済調査（確報）全国集計表","業種（８区分），営業日数（３区分）別事業所数"
"0003288335","観光地域経済調査（確報）全国集計表","業種（８区分），外国資本比率（８区分）別事業所数","-","201201-201212","2019-02-21","0","該当なし","90","2019-03-13","","00601040","観光地域経済調査","00601","観光庁","10","運輸・観光","03","観光","観光地域経済調査（確報）全国集計表","業種（８区分），外国資本比率（８区分）別事業所数"
"0003288336","観光地域経済調査（確報）全国集計表","業種（８区分），資本金階級（１１区分），設備種類（２区分）別設備投資額","-","201201-201212","2019-02-21","0","該当なし","486","2019-03-13","","00601040","観光地域経済調査","00601","観光庁","10","運輸・観光","03","観光","観光地域経済調査（確報）全国集計表","業種（８区分），資本金階級（１１区分），設備種類（２区分）別設備投資額"
"0003288337","観光地域経済調査（確報）全国集計表","業種（８区分），従業者数（９区分），設備種類（２区分）別設備投資額","-","201201-201212","2019-02-21","0","該当なし","270","2019-03-13","","00601040","観光地域経済調査","00601","観光庁","10","運輸・観光","03","観光","観光地域経済調査（確報）全国集計表","業種（８区分），従業者数（９区分），設備種類（２区分）別設備投資額"
"0003288338","観光地域経済調査（確報）全国集計表","業種（８区分），売上（収入）金額（６区分），設備種類（２区分）別設備投資額","-","201201-201212","2019-02-21","0","該当なし","189","2019-03-13","","00601040","観光地域経済調査","00601","観光庁","10","運輸・観光","03","観光","観光地域経済調査（確報）全国集計表","業種（８区分），売上（収入）金額（６区分），設備種類（２区分）別設備投資額"
"0003288362","観光地域経済調査（確報）全国集計表","資本金階級（１１区分），事業（１０区分）別売上（収入）金額","-","201201-201212","2019-02-21","0","該当なし","216","2019-03-13","","00601040","観光地域経済調査","00601","観光庁","10","運輸・観光","03","観光","観光地域経済調査（確報）全国集計表","資本金階級（１１区分），事業（１０区分）別売上（収入）金額"
