"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION"
"0003219952","水質汚濁物質排出量総合調査","年度次","0","2021-01-22","0","該当なし","79","2021-01-26","","00650203","水質汚濁物質排出量総合調査","00650","環境省","1","表3.1.1　調査対象工場・事業場数","14","司法・安全・環境","05","環境","水質汚濁物質排出量総合調査","表3.1.1　調査対象工場・事業場数",""
"0003226702","水質汚濁物質排出量総合調査","年度次","0","2021-01-22","0","該当なし","3848","2021-01-26","","00650203","水質汚濁物質排出量総合調査","00650","環境省","10","表3.1.8　調査票の回収数及び回収率　代表特定施設別","14","司法・安全・環境","05","環境","水質汚濁物質排出量総合調査","表3.1.8　調査票の回収数及び回収率　代表特定施設別",""
"0003226141","水質汚濁物質排出量総合調査","年度次","0","2021-01-22","0","該当なし","284","2021-01-26","","00650203","水質汚濁物質排出量総合調査","00650","環境省","11","表3.2.1　稼働別工場・事業場数","14","司法・安全・環境","05","環境","水質汚濁物質排出量総合調査","表3.2.1　稼働別工場・事業場数",""
"0003226142","水質汚濁物質排出量総合調査","年度次","0","2021-01-22","0","全国","3408","2021-01-26","","00650203","水質汚濁物質排出量総合調査","00650","環境省","12","表3.2.2（1）稼働別工場・事業場数　都道府県別","14","司法・安全・環境","05","環境","水質汚濁物質排出量総合調査","表3.2.2（1）稼働別工場・事業場数　都道府県別",""
"0003226142","水質汚濁物質排出量総合調査","年度次","0","2021-01-22","0","都道府県","3408","2021-01-26","","00650203","水質汚濁物質排出量総合調査","00650","環境省","12","表3.2.2（1）稼働別工場・事業場数　都道府県別","14","司法・安全・環境","05","環境","水質汚濁物質排出量総合調査","表3.2.2（1）稼働別工場・事業場数　都道府県別",""
"0003227524","水質汚濁物質排出量総合調査","年度次","0","2021-01-22","0","該当なし","7675","2021-01-26","","00650203","水質汚濁物質排出量総合調査","00650","環境省","13","表3.2.2（2）稼働別工場・事業場数　水質汚濁防止法政令市別","14","司法・安全・環境","05","環境","水質汚濁物質排出量総合調査","表3.2.2（2）稼働別工場・事業場数　水質汚濁防止法政令市別",""
"0003225567","水質汚濁物質排出量総合調査","年度次","0","2021-01-22","0","該当なし","960","2021-01-26","","00650203","水質汚濁物質排出量総合調査","00650","環境省","14","表3.3.1　用水量・総排水量・処理水量・未処理水量の分布（水量階級別工場・事業場数）","14","司法・安全・環境","05","環境","水質汚濁物質排出量総合調査","表3.3.1　用水量・総排水量・処理水量・未処理水量の分布（水量階級別工場・事業場数）",""
"0003225345","水質汚濁物質排出量総合調査","年度次","0","2021-01-22","0","該当なし","10100","2021-01-26","","00650203","水質汚濁物質排出量総合調査","00650","環境省","15","表3.3.2　産業分類別用水量・総排水量・処理水量・未処理水量の平均値、標準偏差、最大値、最小値","14","司法・安全・環境","05","環境","水質汚濁物質排出量総合調査","表3.3.2　産業分類別用水量・総排水量・処理水量・未処理水量の平均値、標準偏差、最大値、最小値",""
"0003226461","水質汚濁物質排出量総合調査","年度次","0","2021-01-22","0","該当なし","14470","2021-01-26","","00650203","水質汚濁物質排出量総合調査","00650","環境省","16","表3.3.3　代表特定施設別用水量・総排水量・処理水量・未処理水量の平均値、標準偏差、最大値、最小値","14","司法・安全・環境","05","環境","水質汚濁物質排出量総合調査","表3.3.3　代表特定施設別用水量・総排水量・処理水量・未処理水量の平均値、標準偏差、最大値、最小値",""
"0003226400","水質汚濁物質排出量総合調査","年度次","0","2021-01-22","0","該当なし","12120","2021-01-26","","00650203","水質汚濁物質排出量総合調査","00650","環境省","17","表3.3.4　産業分類別（延床面積あたり・従業員数等あたり・出荷額等あたり）の用水量・総排水量・処理水量・未処理水量","14","司法・安全・環境","05","環境","水質汚濁物質排出量総合調査","表3.3.4　産業分類別（延床面積あたり・従業員数等あたり・出荷額等あたり）の用水量・総排水量・処理水量・未処理水量",""
"0003225343","水質汚濁物質排出量総合調査","年度次","0","2021-01-22","0","該当なし","650","2021-01-26","","00650203","水質汚濁物質排出量総合調査","00650","環境省","18","表3.3.7　延床面積階級別用水量と総排水量の事業場数、平均値、標準偏差、最大値、最小値","14","司法・安全・環境","05","環境","水質汚濁物質排出量総合調査","表3.3.7　延床面積階級別用水量と総排水量の事業場数、平均値、標準偏差、最大値、最小値",""
