"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","TITLE_SPEC.TABLE_NAME"
"0003220118","平成２８年度食品廃棄物等の発生抑制及び再生利用の促進の取組に係る実態調査","表1-1　食品廃棄物の収集方法","-","0","2018-08-03","0","該当なし","24","2018-08-03","","00650405","食品廃棄物等の発生抑制及び再生利用の促進の取組に係る実態調査","00650","環境省","14","司法・安全・環境","05","環境","平成２８年度食品廃棄物等の発生抑制及び再生利用の促進の取組に係る実態調査","表1-1　食品廃棄物の収集方法"
"0003220120","平成２８年度食品廃棄物等の発生抑制及び再生利用の促進の取組に係る実態調査","表1-2　食品廃棄物の収集方法（地方別）","-","0","2018-08-03","0","該当なし","108","2018-08-03","","00650405","食品廃棄物等の発生抑制及び再生利用の促進の取組に係る実態調査","00650","環境省","14","司法・安全・環境","05","環境","平成２８年度食品廃棄物等の発生抑制及び再生利用の促進の取組に係る実態調査","表1-2　食品廃棄物の収集方法（地方別）"
"0003220122","平成２８年度食品廃棄物等の発生抑制及び再生利用の促進の取組に係る実態調査","表2-1　家庭から排出された食品廃棄物の量の把握/推計の有無","-","0","2018-08-03","0","該当なし","16","2018-08-03","","00650405","食品廃棄物等の発生抑制及び再生利用の促進の取組に係る実態調査","00650","環境省","14","司法・安全・環境","05","環境","平成２８年度食品廃棄物等の発生抑制及び再生利用の促進の取組に係る実態調査","表2-1　家庭から排出された食品廃棄物の量の把握/推計の有無"
"0003220123","平成２８年度食品廃棄物等の発生抑制及び再生利用の促進の取組に係る実態調査","表2-2　家庭から排出された食品廃棄物の量の把握/推計の有無（地方別）","-","0","2018-08-03","0","該当なし","72","2018-08-03","","00650405","食品廃棄物等の発生抑制及び再生利用の促進の取組に係る実態調査","00650","環境省","14","司法・安全・環境","05","環境","平成２８年度食品廃棄物等の発生抑制及び再生利用の促進の取組に係る実態調査","表2-2　家庭から排出された食品廃棄物の量の把握/推計の有無（地方別）"
"0003220124","平成２８年度食品廃棄物等の発生抑制及び再生利用の促進の取組に係る実態調査","表2-3　家庭から排出された食品廃棄物の量","-","0","2018-08-03","0","該当なし","6","2018-08-03","","00650405","食品廃棄物等の発生抑制及び再生利用の促進の取組に係る実態調査","00650","環境省","14","司法・安全・環境","05","環境","平成２８年度食品廃棄物等の発生抑制及び再生利用の促進の取組に係る実態調査","表2-3　家庭から排出された食品廃棄物の量"
"0003220125","平成２８年度食品廃棄物等の発生抑制及び再生利用の促進の取組に係る実態調査","表4　組成調査の実施方法","-","0","2018-08-03","0","該当なし","20","2018-08-03","","00650405","食品廃棄物等の発生抑制及び再生利用の促進の取組に係る実態調査","00650","環境省","14","司法・安全・環境","05","環境","平成２８年度食品廃棄物等の発生抑制及び再生利用の促進の取組に係る実態調査","表4　組成調査の実施方法"
"0003220127","平成２８年度食品廃棄物等の発生抑制及び再生利用の促進の取組に係る実態調査","表3　食品廃棄物排出量の計算方法","-","0","2018-08-03","0","該当なし","24","2018-08-03","","00650405","食品廃棄物等の発生抑制及び再生利用の促進の取組に係る実態調査","00650","環境省","14","司法・安全・環境","05","環境","平成２８年度食品廃棄物等の発生抑制及び再生利用の促進の取組に係る実態調査","表3　食品廃棄物排出量の計算方法"
"0003220129","平成２８年度食品廃棄物等の発生抑制及び再生利用の促進の取組に係る実態調査","表5　調査対象の収集区分","-","0","2018-08-03","0","該当なし","26","2018-08-03","","00650405","食品廃棄物等の発生抑制及び再生利用の促進の取組に係る実態調査","00650","環境省","14","司法・安全・環境","05","環境","平成２８年度食品廃棄物等の発生抑制及び再生利用の促進の取組に係る実態調査","表5　調査対象の収集区分"
"0003220132","平成２８年度食品廃棄物等の発生抑制及び再生利用の促進の取組に係る実態調査","表6　組成調査の調査方法","-","201601-201612","2018-08-03","0","該当なし","10","2018-08-03","","00650405","食品廃棄物等の発生抑制及び再生利用の促進の取組に係る実態調査","00650","環境省","14","司法・安全・環境","05","環境","平成２８年度食品廃棄物等の発生抑制及び再生利用の促進の取組に係る実態調査","表6　組成調査の調査方法"
"0003220139","平成２８年度食品廃棄物等の発生抑制及び再生利用の促進の取組に係る実態調査","表7　家庭から排出された食品ロス量の調査の実施の有無","-","0","2018-08-03","0","該当なし","16","2018-08-03","","00650405","食品廃棄物等の発生抑制及び再生利用の促進の取組に係る実態調査","00650","環境省","14","司法・安全・環境","05","環境","平成２８年度食品廃棄物等の発生抑制及び再生利用の促進の取組に係る実態調査","表7　家庭から排出された食品ロス量の調査の実施の有無"
