"year","statcode"
"2008","00600650"
"2013","00600650"
"2016","00500246"
"2017","00500246"
"2018","00500246"
"2019","00500246"
"2020","00500246"
"2021","00500246"
"2022","00500246"
"2016","00500604"
"2017","00500604"
"2018","00500604"
"2005","00500604"
"2006","00500604"
"2007","00500604"
"2008","00500604"
"2009","00500604"
"2010","00500604"
"2011","00500604"
"2012","00500604"
"2013","00500604"
"2014","00500604"
"2015","00500604"
"2018","00500400"
"2016","00500235"
"2014","00500235"
"2015","00500235"
"1953","00200531"
"1954","00200531"
"1955","00200531"
"1956","00200531"
"1957","00200531"
"1958","00200531"
"1959","00200531"
"1960","00200531"
"1961","00200531"
"1962","00200531"
"1963","00200531"
"1964","00200531"
"1965","00200531"
"1966","00200531"
"1967","00200531"
"1968","00200531"
"1969","00200531"
"1970","00200531"
"1971","00200531"
"1972","00200531"
"1973","00200531"
"1974","00200531"
"1975","00200531"
"1976","00200531"
"1977","00200531"
"1978","00200531"
"1979","00200531"
"1980","00200531"
"1981","00200531"
"1982","00200531"
"1983","00200531"
"1984","00200531"
"1985","00200531"
"1986","00200531"
"1987","00200531"
"1988","00200531"
"1989","00200531"
"1990","00200531"
"1991","00200531"
"1992","00200531"
"1993","00200531"
"1994","00200531"
"1995","00200531"
"1996","00200531"
"1997","00200531"
"1998","00200531"
"1999","00200531"
"2000","00200531"
"2001","00200531"
"2002","00200531"
"2003","00200531"
"2004","00200531"
"2005","00200531"
"2006","00200531"
"2007","00200531"
"2008","00200531"
"2009","00200531"
"2010","00200531"
"2011","00200531"
"2012","00200531"
"2013","00200531"
"2014","00200531"
"2015","00200531"
"2016","00200531"
"2017","00200531"
"2018","00200531"
"2019","00200531"
"2020","00200531"
"2021","00200531"
"2022","00200531"
"2023","00200531"
"2024","00200531"
"2016","00400803"
"2017","00400803"
"2015","00400803"
"1992","00250002"
"1993","00250002"
"1994","00250002"
"1995","00250002"
"1996","00250002"
"1997","00250002"
"1998","00250002"
"1999","00250002"
"2000","00250002"
"2001","00250002"
"2002","00250002"
"2003","00250002"
"2004","00250002"
"2005","00250002"
"2006","00250002"
"2007","00250002"
"2008","00250002"
"2009","00250002"
"2010","00250002"
"2011","00250002"
"2012","00250002"
"2013","00250002"
"2014","00250002"
"2015","00250002"
"2016","00250002"
"2017","00250002"
"2018","00250002"
"2019","00250002"
"2020","00250002"
"2021","00250002"
"2022","00250002"
"2023","00250002"
"2024","00250002"
"2005","00100401"
"2006","00100401"
"2007","00100401"
"2008","00100401"
"2009","00100401"
"2010","00100401"
"2011","00100401"
"2012","00100401"
"2013","00100401"
"2014","00100401"
"2015","00100401"
"2016","00100401"
"2017","00100401"
"2018","00100401"
"2019","00100401"
"2020","00100401"
"2021","00100401"
"2022","00100401"
"2023","00100401"
"2024","00100401"
"1980","00600320"
"1985","00600320"
"1990","00600320"
"1995","00600320"
"1998","00600320"
"1999","00600320"
"2000","00600320"
"2001","00600320"
"2002","00600320"
"2003","00600320"
"2004","00600320"
"2005","00600320"
"2006","00600320"
"2007","00600320"
"2008","00600320"
"2009","00600320"
"2010","00600320"
"2011","00600320"
"2012","00600320"
"2013","00600320"
"2014","00600320"
"2015","00600320"
"2016","00600320"
"2017","00600320"
"2018","00600320"
"2019","00600320"
"2020","00600320"
"2021","00600320"
"2016","00450021"
"2017","00450021"
"2018","00450021"
